strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,SE,2024-05-30,67.23,66.95,0.28,2024-05-30,66.95,same_day_stop_loss_red_candle,746,50153.58,-208.88,-0.004165,-1.0,-3.0714,0.9643,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=66.94999694824219; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,WING,2024-05-23,377.3685,370.2279,7.1407,2024-05-31,370.2279,stop_loss,131,49435.28,-935.43,-0.018922,-1.0,-2.6352,1.8336,6,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3685; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=370.2278812580207; decision_date=2024-05-22 00:00:00; filter_close=374.9025; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,TME,2024-05-24,13.7339,13.6386,0.0953,2024-05-31,13.6386,stop_loss,3626,49799.28,-345.59,-0.00694,-1.0,-2.1178,8.7,5,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=13.638635619635572; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,IAG,2024-05-24,3.95,3.85,0.1,2024-05-31,3.98,2_day_low,12670,50046.5,380.1,0.007595,0.3,-0.2,2.2,5,91.0,entry=rsi2_next_open; setup_rsi2=3.00; raw_entry=open:3.9500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=3.849999904632568; decision_date=2024-05-23 00:00:00; filter_close=3.8700; filter_ma50=3.6672; filter_avg_value_10=51.47; filter_adr20=4.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,KD,2024-05-31,26.64,26.33,0.31,2024-05-31,26.33,same_day_stop_loss_red_candle,1879,50056.56,-582.49,-0.011637,-1.0,-2.1936,0.2581,0,93.0,entry=rsi2_next_open; setup_rsi2=1.58; raw_entry=open:26.6400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=26.32999992370605; decision_date=2024-05-30 00:00:00; filter_close=26.6400; filter_ma50=22.9040; filter_avg_value_10=46.22; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,EMBJ,2024-05-31,28.0478,27.888,0.1598,2024-05-31,27.888,same_day_stop_loss_red_candle,1784,50037.35,-285.11,-0.005698,-1.0,-6.25,0.0,0,92.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:28.0478; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.88802543077487; decision_date=2024-05-30 00:00:00; filter_close=28.0678; filter_ma50=26.5675; filter_avg_value_10=40.41; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,SE,2024-05-31,66.87,66.37,0.5,2024-05-31,66.37,same_day_stop_loss_red_candle,748,50018.76,-374.0,-0.007477,-1.0,-2.28,1.6,0,90.0,entry=rsi2_next_open; setup_rsi2=2.58; raw_entry=open:66.8700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=66.37000274658203; decision_date=2024-05-30 00:00:00; filter_close=67.1500; filter_ma50=61.6118; filter_avg_value_10=380.41; filter_adr20=3.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,CVNA,2024-06-03,20.656,19.615,1.041,2024-06-03,19.615,same_day_stop_loss_red_candle,2416,49904.9,-2515.06,-0.050397,-1.0,-1.1007,0.1383,0,97.0,entry=rsi2_next_open; setup_rsi2=2.71; raw_entry=open:20.6560; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=19.614999771118164; decision_date=2024-05-31 00:00:00; filter_close=19.9960; filter_ma50=18.9806; filter_avg_value_10=312.42; filter_adr20=5.30; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,ONTO,2024-06-03,220.46,209.58,10.88,2024-06-03,209.58,same_day_stop_loss_red_candle,225,49603.5,-2448.0,-0.049351,-1.0,-1.091,0.0,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:220.4600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=209.5800018310547; decision_date=2024-05-31 00:00:00; filter_close=216.7000; filter_ma50=199.0390; filter_avg_value_10=96.24; filter_adr20=3.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_2_day_low_setup_low_stop,OSCR,2024-05-31,19.88,18.56,1.32,2024-06-04,18.98,2_day_low,2518,50057.84,-2266.2,-0.045272,-0.6818,-0.9318,0.8485,2,97.0,entry=rsi2_next_open; setup_rsi2=3.28; raw_entry=open:19.8800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=18.559999465942383; decision_date=2024-05-30 00:00:00; filter_close=19.8500; filter_ma50=17.6132; filter_avg_value_10=61.11; filter_adr20=5.78; rs_bucket=rs90_100
