strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_open,SATS,2025-03-07,28.3028,,,2025-03-14,26.7973,hold_5d_open,5019,142051.9,-7556.15,-0.053193,,,,5,93.0,entry=rsi2_next_open; setup_rsi2=3.96; raw_entry=open:28.3000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-06 00:00:00; filter_close=28.3800; filter_ma50=26.9022; filter_avg_value_10=74.46; filter_adr20=4.20; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,AXSM,2025-03-10,120.7321,,,2025-03-17,122.6677,hold_5d_open,1126,135944.31,2179.55,0.016033,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=1.80; raw_entry=open:120.7200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-07 00:00:00; filter_close=122.1700; filter_ma50=107.9455; filter_avg_value_10=97.86; filter_adr20=4.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,CHEF,2025-03-10,55.9656,,,2025-03-17,51.9948,hold_5d_open,2425,135716.57,-9629.18,-0.070951,,,,5,92.0,entry=rsi2_next_open; setup_rsi2=2.45; raw_entry=open:55.9600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-07 00:00:00; filter_close=56.6800; filter_ma50=55.7974; filter_avg_value_10=35.34; filter_adr20=3.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,PBI,2025-03-12,8.9941,,,2025-03-19,8.8961,hold_5d_open,15545,139812.51,-1523.0,-0.010893,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=1.40; raw_entry=open:8.9932; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-11 00:00:00; filter_close=8.7912; filter_ma50=8.4550; filter_avg_value_10=25.98; filter_adr20=5.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,OPCH,2025-03-14,32.4832,,,2025-03-21,34.2066,hold_5d_open,4306,139872.86,7420.66,0.053053,,,,5,90.0,entry=rsi2_next_open; setup_rsi2=2.07; raw_entry=open:32.4800; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-13 00:00:00; filter_close=32.2400; filter_ma50=30.3078; filter_avg_value_10=71.70; filter_adr20=2.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,OPK,2025-03-14,1.7202,,,2025-03-21,1.8098,hold_5d_open,81368,139966.96,7294.39,0.052115,,,,5,90.0,entry=rsi2_next_open; setup_rsi2=2.77; raw_entry=open:1.7200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-13 00:00:00; filter_close=1.7200; filter_ma50=1.6092; filter_avg_value_10=25.83; filter_adr20=5.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,PTGX,2025-03-26,51.0951,,,2025-04-02,46.6753,hold_5d_open,2761,141073.6,-12203.0,-0.086501,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=3.11; raw_entry=open:51.0900; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-25 00:00:00; filter_close=51.0500; filter_ma50=41.7728; filter_avg_value_10=80.63; filter_adr20=6.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,BABA,2025-03-26,131.3237,,,2025-04-02,129.7537,hold_5d_open,1071,140647.72,-1681.48,-0.011955,,,,5,95.0,entry=rsi2_next_open; setup_rsi2=4.52; raw_entry=open:131.3106; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-25 00:00:00; filter_close=130.5436; filter_ma50=115.6686; filter_avg_value_10=2782.01; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,EXK,2025-03-26,4.6005,,,2025-04-02,3.7796,hold_5d_open,30544,140516.45,-25071.67,-0.178425,,,,5,90.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:4.6000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-25 00:00:00; filter_close=4.5700; filter_ma50=4.0158; filter_avg_value_10=48.70; filter_adr20=7.24; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open,EMBJ,2025-03-27,48.3194,,,2025-04-03,45.9028,hold_5d_open,2912,140706.2,-7037.33,-0.050014,,,,5,94.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:48.3146; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-03-26 00:00:00; filter_close=48.4445; filter_ma50=45.3136; filter_avg_value_10=122.30; filter_adr20=4.06; rs_bucket=rs90_100
