strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_50,BWXT,2025-08-20,164.6646,163.1723,1.4923,2025-08-20,163.156,same_day_stop_loss_red_candle,62,10209.2,-93.54,-0.009162,-1.0109,-2.3097,0.1493,0,91.0,entry=rsi2_next_open; setup_rsi2=1.12; raw_entry=open:164.6481; slippage_bps=1.0; decision_date=2025-08-19 00:00:00; filter_close=165.2963; filter_ma50=148.8768; filter_avg_value_10=222.76; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,BMNR,2025-08-20,50.2703,47.756,2.5143,2025-08-21,47.7512,stop_loss,205,10305.4,-516.41,-0.05011,-1.0019,-1.2068,0.8489,1,99.0,entry=rsi2_next_open; setup_rsi2=4.24; raw_entry=open:50.2652; slippage_bps=1.0; decision_date=2025-08-19 00:00:00; filter_close=49.7654; filter_ma50=37.9364; filter_avg_value_10=4545.77; filter_adr20=14.83; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,NB,2025-08-20,3.7304,3.5,0.2304,2025-08-21,4.1796,rsi2_gt_50,2764,10310.75,1241.61,0.120419,1.9499,-0.783,2.1254,1,95.0,entry=rsi2_next_open; setup_rsi2=4.70; raw_entry=open:3.7300; slippage_bps=1.0; decision_date=2025-08-19 00:00:00; filter_close=3.7200; filter_ma50=3.2037; filter_avg_value_10=29.59; filter_adr20=12.85; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,RBLX,2025-08-18,115.4715,112.0,3.4715,2025-08-22,117.5082,rsi2_gt_50,89,10276.97,181.27,0.017638,0.5867,-0.9654,1.6789,4,92.0,entry=rsi2_next_open; setup_rsi2=2.04; raw_entry=open:115.4600; slippage_bps=1.0; decision_date=2025-08-15 00:00:00; filter_close=117.3400; filter_ma50=112.6562; filter_avg_value_10=1103.78; filter_adr20=5.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,JOBY,2025-08-21,14.9665,14.1,0.8665,2025-08-22,14.9485,rsi2_gt_50,689,10311.92,-12.4,-0.001202,-0.0208,-0.8904,0.131,1,96.0,entry=rsi2_next_open; setup_rsi2=1.84; raw_entry=open:14.9650; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=14.7200; filter_ma50=13.8070; filter_avg_value_10=452.99; filter_adr20=8.04; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,CLS,2025-08-21,183.3083,173.23,10.0783,2025-08-22,188.9011,rsi2_gt_50,56,10265.27,313.2,0.03051,0.5549,-0.4265,0.6967,1,95.0,entry=rsi2_next_open; setup_rsi2=2.12; raw_entry=open:183.2900; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=182.9000; filter_ma50=167.2468; filter_avg_value_10=621.60; filter_adr20=5.49; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TLN,2025-08-21,360.036,351.0,9.036,2025-08-22,350.9649,stop_loss,28,10081.01,-253.99,-0.025195,-1.0039,-1.2368,0.878,1,93.0,entry=rsi2_next_open; setup_rsi2=1.45; raw_entry=open:360.0000; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=360.1000; filter_ma50=320.1241; filter_avg_value_10=314.30; filter_adr20=3.73; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,OCUL,2025-08-21,11.9012,11.68,0.2212,2025-08-22,12.2988,rsi2_gt_50,866,10306.43,344.3,0.033407,1.7975,-0.3445,2.662,1,90.0,entry=rsi2_next_open; setup_rsi2=3.74; raw_entry=open:11.9000; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=11.9600; filter_ma50=10.7830; filter_avg_value_10=26.27; filter_adr20=5.06; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,TLN,2025-08-22,357.8958,357.47,0.4258,2025-08-22,357.4343,same_day_stop_loss_red_candle,28,10021.08,-12.92,-0.00129,-1.084,-21.2222,14.4309,0,92.0,entry=rsi2_next_open; setup_rsi2=1.08; raw_entry=open:357.8600; slippage_bps=1.0; decision_date=2025-08-21 00:00:00; filter_close=357.8600; filter_ma50=322.1794; filter_avg_value_10=282.43; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_50,MP,2025-08-21,68.2168,66.08,2.1368,2025-08-25,72.3028,rsi2_gt_50,151,10300.74,616.98,0.059896,1.9122,-1.5897,2.1917,2,98.0,entry=rsi2_next_open; setup_rsi2=3.99; raw_entry=open:68.2100; slippage_bps=1.0; decision_date=2025-08-20 00:00:00; filter_close=68.1700; filter_ma50=51.5826; filter_avg_value_10=1035.43; filter_adr20=6.62; rs_bucket=rs90_100
