strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,TWLO,2024-12-19,106.4,104.85,1.55,2024-12-19,104.85,same_day_stop_loss_red_candle,502,53412.8,-778.1,-0.014568,-1.0,-1.0645,0.6452,0,94.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:106.4000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=104.8499984741211; decision_date=2024-12-18 00:00:00; filter_close=105.4600; filter_ma50=91.5268; filter_avg_value_10=294.79; filter_adr20=3.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,GSAT,2024-12-19,28.5,27.45,1.05,2024-12-19,27.45,same_day_stop_loss_red_candle,1875,53437.5,-1968.75,-0.036842,-1.0,-1.1429,1.0,0,90.0,entry=rsi2_next_open; setup_rsi2=3.44; raw_entry=open:28.5000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.450000762939453; decision_date=2024-12-18 00:00:00; filter_close=27.7500; filter_ma50=24.6600; filter_avg_value_10=57.48; filter_adr20=9.92; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,RCAT,2024-12-13,7.2,6.71,0.49,2024-12-20,8.855,hold_5d_open,7407,53330.4,12258.58,0.229861,3.3776,-0.0816,8.4286,5,99.0,entry=rsi2_next_open; setup_rsi2=4.42; raw_entry=open:7.2000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=6.710000038146973; decision_date=2024-12-12 00:00:00; filter_close=7.1900; filter_ma50=5.0565; filter_avg_value_10=66.91; filter_adr20=16.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,INTA,2024-12-19,65.44,63.61,1.83,2024-12-20,63.11,stop_loss,818,53529.92,-1905.94,-0.035605,-1.2732,-1.2732,0.5628,1,92.0,entry=rsi2_next_open; setup_rsi2=2.84; raw_entry=open:65.4400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=63.61000061035156; decision_date=2024-12-18 00:00:00; filter_close=64.4300; filter_ma50=57.3374; filter_avg_value_10=44.71; filter_adr20=3.45; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,QTWO,2024-12-19,104.4,101.37,3.03,2024-12-20,100.54,stop_loss,512,53452.8,-1976.32,-0.036973,-1.2739,-1.604,0.5281,1,92.0,entry=rsi2_next_open; setup_rsi2=4.66; raw_entry=open:104.4000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=101.37000274658205; decision_date=2024-12-18 00:00:00; filter_close=102.3400; filter_ma50=95.5912; filter_avg_value_10=66.14; filter_adr20=3.16; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,UAL,2024-12-19,92.75,90.17,2.58,2024-12-26,100.15,hold_5d_open,576,53424.0,4262.4,0.079784,2.8682,-0.0078,3.3101,5,93.0,entry=rsi2_next_open; setup_rsi2=4.34; raw_entry=open:92.7500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=90.16999816894533; decision_date=2024-12-18 00:00:00; filter_close=91.4700; filter_ma50=85.5090; filter_avg_value_10=465.64; filter_adr20=3.41; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,HIMS,2024-12-20,26.04,24.62,1.42,2024-12-27,28.46,hold_5d_open,2043,53199.72,4944.06,0.092934,1.7042,-0.5141,2.9507,5,92.0,entry=rsi2_next_open; setup_rsi2=4.32; raw_entry=open:26.0400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=24.6200008392334; decision_date=2024-12-19 00:00:00; filter_close=26.3600; filter_ma50=25.3838; filter_avg_value_10=412.02; filter_adr20=10.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,CAN,2024-12-24,2.188,2.01,0.178,2024-12-31,2.29,hold_5d_open,24465,53529.42,2495.43,0.046618,0.573,-0.9719,1.1348,5,95.0,entry=rsi2_next_open; setup_rsi2=3.85; raw_entry=open:2.1880; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=2.009999990463257; decision_date=2024-12-23 00:00:00; filter_close=2.0600; filter_ma50=1.7627; filter_avg_value_10=60.23; filter_adr20=15.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,UNFI,2024-12-24,25.85,25.55,0.3,2024-12-31,27.47,hold_5d_open,2073,53587.05,3358.26,0.062669,5.4,-0.9667,6.8666,5,93.0,entry=rsi2_next_open; setup_rsi2=3.81; raw_entry=open:25.8500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=25.549999237060547; decision_date=2024-12-23 00:00:00; filter_close=25.6500; filter_ma50=23.1588; filter_avg_value_10=34.45; filter_adr20=4.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,DOCS,2024-12-31,53.79,53.355,0.435,2024-12-31,53.355,same_day_stop_loss_red_candle,1000,53790.0,-435.0,-0.008087,-1.0,-1.6092,0.9425,0,91.0,entry=rsi2_next_open; setup_rsi2=4.18; raw_entry=open:53.7900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=53.35499954223633; decision_date=2024-12-30 00:00:00; filter_close=53.4600; filter_ma50=50.3018; filter_avg_value_10=147.00; filter_adr20=4.08; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,RBRK,2025-01-02,65.72,65.05,0.67,2025-01-02,65.05,same_day_stop_loss_red_candle,818,53758.96,-548.06,-0.010195,-1.0,-2.4925,1.7164,0,96.0,entry=rsi2_next_open; setup_rsi2=4.49; raw_entry=open:65.7200; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=65.05000305175781; decision_date=2024-12-31 00:00:00; filter_close=65.3600; filter_ma50=53.1002; filter_avg_value_10=245.90; filter_adr20=6.80; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,AXON,2025-01-02,604.07,592.28,11.79,2025-01-02,592.28,same_day_stop_loss_red_candle,89,53762.23,-1049.31,-0.019518,-1.0,-1.3469,0.6938,0,92.0,entry=rsi2_next_open; setup_rsi2=4.03; raw_entry=open:604.0700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=592.280029296875; decision_date=2024-12-31 00:00:00; filter_close=594.3200; filter_ma50=576.9822; filter_avg_value_10=900.79; filter_adr20=3.81; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,DOCS,2025-01-02,53.9,53.09,0.81,2025-01-02,53.09,same_day_stop_loss_red_candle,999,53846.1,-809.19,-0.015028,-1.0,-1.6049,0.1235,0,92.0,entry=rsi2_next_open; setup_rsi2=4.06; raw_entry=open:53.9000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=53.09000015258789; decision_date=2024-12-31 00:00:00; filter_close=53.3900; filter_ma50=50.4996; filter_avg_value_10=147.22; filter_adr20=4.09; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,UAL,2025-01-03,95.4,94.45,0.95,2025-01-03,94.45,same_day_stop_loss_red_candle,568,54187.2,-539.6,-0.009958,-1.0,-3.8105,0.3474,0,93.0,entry=rsi2_next_open; setup_rsi2=4.02; raw_entry=open:95.4000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=94.4499969482422; decision_date=2025-01-02 00:00:00; filter_close=95.4300; filter_ma50=91.1548; filter_avg_value_10=452.87; filter_adr20=3.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,ALK,2025-01-03,64.3,63.8,0.5,2025-01-03,63.8,same_day_stop_loss_red_candle,846,54397.8,-423.0,-0.007776,-1.0,-2.96,0.4,0,92.0,entry=rsi2_next_open; setup_rsi2=4.64; raw_entry=open:64.3000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=63.79999923706055; decision_date=2025-01-02 00:00:00; filter_close=64.3000; filter_ma50=55.3154; filter_avg_value_10=197.10; filter_adr20=3.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,CIEN,2025-01-03,83.64,82.01,1.63,2025-01-07,82.01,stop_loss,650,54366.0,-1059.5,-0.019488,-1.0,-1.3374,1.0614,2,91.0,entry=rsi2_next_open; setup_rsi2=2.87; raw_entry=open:83.6400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=82.01000213623047; decision_date=2025-01-02 00:00:00; filter_close=83.2400; filter_ma50=73.6926; filter_avg_value_10=149.64; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,DXYZ,2025-01-03,56.265,55.19,1.075,2025-01-08,55.19,stop_loss,959,53958.13,-1030.93,-0.019106,-1.0,-1.9302,9.986,3,99.0,entry=rsi2_next_open; setup_rsi2=3.69; raw_entry=open:56.2650; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=55.18999862670898; decision_date=2025-01-02 00:00:00; filter_close=57.1600; filter_ma50=41.6466; filter_avg_value_10=88.80; filter_adr20=14.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,BE,2025-01-02,22.51,22.07,0.44,2025-01-10,23.9,hold_5d_open,2389,53776.39,3320.71,0.06175,3.1591,-0.3182,8.4773,6,94.0,entry=rsi2_next_open; setup_rsi2=3.49; raw_entry=open:22.5100; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=22.06999969482422; decision_date=2024-12-31 00:00:00; filter_close=22.2100; filter_ma50=19.5120; filter_avg_value_10=112.33; filter_adr20=7.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_open_setup_low_stop,ARQT,2025-01-02,14.2,13.79,0.41,2025-01-10,13.79,stop_loss,3790,53818.0,-1553.9,-0.028873,-1.0,-1.2171,4.8781,6,92.0,entry=rsi2_next_open; setup_rsi2=4.69; raw_entry=open:14.2000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=13.789999961853027; decision_date=2024-12-31 00:00:00; filter_close=13.9300; filter_ma50=11.3077; filter_avg_value_10=34.51; filter_adr20=7.65; rs_bucket=rs90_100
