date,equity,cash_realized,open_positions,exposure
2025-02-06,1031808.2241813566,1021258.1900000002,8,82260.79114580154
2025-02-07,1030082.2286219026,1021208.4400000002,6,61685.08080816269
2025-02-10,1029346.548195038,1020959.6600000001,5,51376.600736141205
2025-02-11,1036920.7683581735,1022417.6900000002,5,51389.50119161606
2025-02-12,1048705.0398004153,1023571.0100000001,3,30871.75103378296
2025-02-13,1055461.1784790042,1023303.3000000002,3,30871.75103378296
2025-02-14,1041386.3192346575,1023303.3000000002,4,41284.26084566116
2025-02-18,1041692.5283272745,1023303.3000000002,5,51688.490619421005
2025-02-19,1042283.9093106271,1023303.3000000002,5,51688.490619421005
2025-02-20,1036642.1884270384,1022781.3200000002,4,41275.9808075428
2025-02-21,1036557.8891853049,1022509.6200000002,4,41275.9808075428
2025-02-24,1032957.5195855333,1029806.6700000002,1,10343.48049736023
2025-02-25,1030470.171970278,1027853.5200000001,2,20634.988253225172
2025-02-26,1030828.4065025199,1027239.4000000001,9,92789.67355500587
2025-02-27,1028001.2746747172,1025499.6800000002,8,82419.26347767242
2025-02-28,1026689.5628290619,1026069.9100000003,4,41174.12819730171
2025-03-03,1022646.4994819644,1022103.3000000003,1,10307.220207214355
2025-03-04,1021142.8200000004,1021142.8200000004,0,0.0
2025-03-05,1023373.1991060452,1021142.8200000004,2,20426.24040079117
2025-03-06,1022305.6201232151,1021142.8200000004,2,20426.24040079117
2025-03-07,1021386.1296303562,1020191.0300000004,1,10206.800123214722
2025-03-10,1020963.0898767856,1020026.3900000004,1,10206.800123214722
2025-03-11,1021120.3693839267,1019547.8700000003,2,20406.80012321472
2025-03-12,1020445.7402259067,1019547.8700000003,3,30616.07989501953
2025-03-13,1019798.080164657,1018778.1100000003,2,20390.089895129204
2025-03-14,1019820.1803462366,1018778.1100000003,2,20390.089895129204
2025-03-17,1020178.3405965964,1018778.1100000003,3,30579.284540122717
2025-03-18,1020173.4506823221,1018778.1100000003,3,30579.284540122717
2025-03-19,1020123.73077027,1018778.1100000003,3,30579.284540122717
2025-03-20,1019283.573616306,1018778.1100000003,3,30579.284540122717
2025-03-21,1018887.9142591206,1018631.4900000003,2,20389.194644993513
2025-03-24,1019121.0527860371,1018631.4900000003,2,20389.194644993513
2025-03-25,1018315.9630471913,1018631.4900000003,3,30568.63432318565
2025-03-26,1017727.9400144307,1017450.3900000004,1,10189.194644993511
2025-03-27,1017893.0106183024,1017450.3900000004,2,20294.053087752654
2025-03-28,1017175.7858944865,1017450.3900000004,2,20294.053087752654
2025-03-31,1017879.1630579487,1017274.7200000003,1,10189.194644993511
2025-04-01,1017299.5471550861,1017052.2600000002,3,30523.92425162193
2025-04-02,1017819.884519588,1016523.3300000002,3,30524.314800327986
2025-04-03,1015271.5222683062,1016344.8300000002,3,30524.314800327986
2025-04-04,1015725.6073500932,1015185.3,2,20303.194644993513
2025-04-07,1015608.8500000001,1014672.8500000001,1,10114.0
2025-04-08,1017369.6763079687,1014672.8500000001,4,40625.043851180526
2025-04-09,1021747.0111171118,1014023.6400000001,5,50840.33854818677
2025-04-10,1022813.4605418554,1014023.6400000001,5,50840.33854818677
2025-04-11,1023923.1143208853,1014023.6400000001,5,50840.33854818677
2025-04-14,1024953.8612028471,1014023.6400000001,5,50840.33854818677
2025-04-15,1026457.6768790594,1014023.6400000001,6,60908.33854818677
2025-04-16,1026147.9698287359,1014023.6400000001,6,60908.33854818677
2025-04-17,1022043.3280486456,1013737.1900000002,4,40634.028752807135
2025-04-21,1022677.0867101256,1015578.4100000001,3,30455.208520892615
