strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,QS,2025-08-04,8.37,8.1,0.27,2025-08-05,9.0,pivot_low_break,1208,10110.96,761.04,0.075269,2.333338,-0.944447,2.740745,1,95.0,setup_rsi2=0.85; next_open_entry; avg_value_10=658.3378M; adr20=12.6479; close=8.3000; ma50=7.1984
rsi2,AVAV,2025-08-04,265.720001,251.339996,14.380005,2025-08-05,263.0,pivot_low_break,38,10097.36,-103.36,-0.010236,-0.189152,-0.369263,0.749652,1,92.0,setup_rsi2=1.66; next_open_entry; avg_value_10=241.2960M; adr20=4.1410; close=267.9500; ma50=228.0908
rsi2,CRSP,2025-08-04,56.299999,53.700001,2.599998,2025-08-05,53.700001,stop_loss,180,10134.0,-468.0,-0.046181,-1.0,-1.461539,1.381155,1,91.0,setup_rsi2=1.54; next_open_entry; avg_value_10=201.6620M; adr20=6.5902; close=59.5900; ma50=49.6509
rsi2,CCJ,2025-08-04,73.367147,70.682376,2.684771,2025-08-05,75.303376,pivot_low_break,138,10124.67,267.2,0.026391,0.721189,-0.189592,1.137547,1,91.0,setup_rsi2=0.72; next_open_entry; avg_value_10=357.7844M; adr20=3.7535; close=75.1137; ma50=69.9744
rsi2,BBBY,2025-08-05,8.0,7.91,0.09,2025-08-05,7.91,same_day_stop_loss,1272,10176.0,-114.48,-0.01125,-1.0,-1.33333,8.333319,0,91.0,setup_rsi2=1.55; next_open_entry; avg_value_10=38.4046M; adr20=9.4903; close=8.6600; ma50=7.5806
rsi2,TRON,2025-08-06,6.9,6.815,0.085,2025-08-06,6.815,same_day_stop_loss,1472,10156.8,-125.12,-0.012319,-1.0,-5.411763,1.011764,0,99.0,setup_rsi2=3.20; next_open_entry; avg_value_10=35.1261M; adr20=18.1936; close=6.8500; ma50=6.2436
rsi2,ATRO,2025-07-11,32.849998,29.91,2.939999,2025-08-07,29.0,stop_loss,306,10052.1,-1178.1,-0.117199,-1.309524,-1.897959,1.520409,27,92.0,setup_rsi2=2.42; next_open_entry; avg_value_10=26.9424M; adr20=5.1301; close=36.1100; ma50=31.0720
rsi2,TRON,2025-08-07,7.01,6.44,0.57,2025-08-08,7.07,pivot_low_break,1443,10115.43,86.58,0.008559,0.105263,-0.701754,0.631578,1,99.0,setup_rsi2=2.65; next_open_entry; avg_value_10=33.7817M; adr20=17.8605; close=7.1200; ma50=6.3734
rsi2,NEXT,2025-08-08,10.53,10.4,0.13,2025-08-08,10.4,same_day_stop_loss,960,10108.8,-124.8,-0.012346,-1.0,-1.923075,1.769233,0,90.0,setup_rsi2=2.20; next_open_entry; avg_value_10=28.7289M; adr20=5.0510; close=10.3400; ma50=9.6709
rsi2,GEV,2025-06-11,468.491673,457.641517,10.850156,2025-08-13,631.349581,pivot_low_break,21,9838.33,3420.02,0.347622,15.00973,-0.507633,19.13421,63,94.0,setup_rsi2=3.53; next_open_entry; avg_value_10=1506.5449M; adr20=3.2190; close=482.4111; ma50=395.6001
rsi2,AMPX,2025-08-04,6.86,6.07,0.79,2025-08-13,7.43,pivot_low_break,1468,10070.48,836.76,0.08309,0.721519,-0.126582,3.544304,9,99.0,setup_rsi2=1.33; next_open_entry; avg_value_10=61.0828M; adr20=9.9589; close=7.5400; ma50=5.0322
rsi2,SMXT,2025-08-05,1.6,0.87,0.73,2025-08-13,0.96,pivot_low_break,6360,10176.0,-4070.4,-0.4,-0.876712,-0.923288,1.232877,8,92.0,setup_rsi2=0.08; next_open_entry; avg_value_10=53.8021M; adr20=7.5748; close=1.6600; ma50=1.1070
rsi2,ASTS,2025-08-12,51.235001,45.459999,5.775002,2025-08-13,49.720001,pivot_low_break,197,10093.3,-298.45,-0.02957,-0.262337,-0.712554,0.738528,1,94.0,setup_rsi2=3.18; next_open_entry; avg_value_10=479.8974M; adr20=7.0926; close=49.7600; ma50=46.4295
rsi2,SBSW,2025-08-04,8.260275,7.910428,0.349846,2025-08-15,7.910428,stop_loss,1221,10085.8,-427.16,-0.042353,-1.0,-1.222223,1.777781,11,96.0,setup_rsi2=0.62; next_open_entry; avg_value_10=88.5017M; adr20=3.5583; close=8.6976; ma50=7.3555
rsi2,UAVS,2025-08-04,1.98,1.8,0.18,2025-08-18,1.97,pivot_low_break,5098,10094.04,-50.98,-0.005051,-0.055555,-0.666666,3.888888,14,96.0,setup_rsi2=3.44; next_open_entry; avg_value_10=38.0108M; adr20=19.6508; close=2.4100; ma50=1.4492
rsi2,AMPX,2025-08-18,7.04,6.94,0.1,2025-08-18,6.94,same_day_stop_loss,1453,10229.12,-145.3,-0.014205,-1.0,-1.850001,2.700002,0,98.0,setup_rsi2=4.74; next_open_entry; avg_value_10=73.4438M; adr20=10.1829; close=7.2100; ma50=6.0258
rsi2,SBSW,2025-08-18,7.959017,7.832684,0.126333,2025-08-18,7.832684,same_day_stop_loss,1285,10227.34,-162.34,-0.015873,-1.0,-1.384618,0.076925,0,91.0,setup_rsi2=2.89; next_open_entry; avg_value_10=56.4086M; adr20=3.4580; close=7.9201; ma50=7.8278
