strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_1_day_low_no_stop,AAOI,2023-07-28,6.3506,,,2023-07-31,6.2494,1_day_low,7082,44975.2,-717.12,-0.015945,,,,1,99.0,entry=rsi2_next_open; setup_rsi2=4.33; raw_entry=open:6.3500; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-27 00:00:00; filter_close=6.1900; filter_ma50=4.9781; filter_avg_value_10=28.23; filter_adr20=17.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,GLBE,2023-07-24,41.6642,,,2023-08-01,43.9356,1_day_low,1071,44622.32,2432.71,0.054518,,,,6,93.0,entry=rsi2_next_open; setup_rsi2=4.94; raw_entry=open:41.6600; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-21 00:00:00; filter_close=41.6700; filter_ma50=37.6465; filter_avg_value_10=67.30; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,W,2023-07-27,70.9271,,,2023-08-01,73.7926,1_day_low,633,44896.85,1813.88,0.040401,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=4.86; raw_entry=open:70.9200; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-26 00:00:00; filter_close=68.3100; filter_ma50=54.7508; filter_avg_value_10=260.02; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,ACAD,2023-07-28,28.7529,,,2023-08-01,28.9071,1_day_low,1568,45084.51,241.84,0.005364,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.78; raw_entry=open:28.7500; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-27 00:00:00; filter_close=29.0200; filter_ma50=25.6580; filter_avg_value_10=86.89; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,VIST,2023-07-28,25.3025,,,2023-08-01,25.4975,1_day_low,1780,45038.5,346.96,0.007704,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=4.48; raw_entry=open:25.3000; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-27 00:00:00; filter_close=25.3200; filter_ma50=23.5808; filter_avg_value_10=27.99; filter_adr20=4.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,FLNC,2023-07-28,28.2028,,,2023-08-02,27.7972,1_day_low,1600,45124.51,-648.96,-0.014382,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=4.15; raw_entry=open:28.2000; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-07-27 00:00:00; filter_close=27.7600; filter_ma50=25.8300; filter_avg_value_10=28.70; filter_adr20=5.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,MSTR,2023-08-04,39.0049,,,2023-08-07,37.0993,1_day_low,1152,44933.64,-2195.26,-0.048856,,,,1,93.0,entry=rsi2_next_open; setup_rsi2=3.25; raw_entry=open:39.0010; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-08-03 00:00:00; filter_close=38.9910; filter_ma50=35.7470; filter_avg_value_10=258.77; filter_adr20=5.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,ARGX,2023-08-04,491.5292,,,2023-08-07,486.0014,1_day_low,91,44729.15,-503.03,-0.011246,,,,1,92.0,entry=rsi2_next_open; setup_rsi2=4.33; raw_entry=open:491.4800; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-08-03 00:00:00; filter_close=493.7400; filter_ma50=425.8250; filter_avg_value_10=186.44; filter_adr20=2.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,CLSK,2023-08-07,5.3305,,,2023-08-09,5.0495,1_day_low,8392,44733.83,-2358.47,-0.052722,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=2.16; raw_entry=open:5.3300; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-08-04 00:00:00; filter_close=5.3000; filter_ma50=5.1214; filter_avg_value_10=51.20; filter_adr20=7.85; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,UPST,2023-08-08,48.2348,,,2023-08-09,42.7757,1_day_low,932,44954.85,-5087.88,-0.113178,,,,1,99.0,entry=rsi2_next_open; setup_rsi2=3.68; raw_entry=open:48.2300; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-08-07 00:00:00; filter_close=51.9700; filter_ma50=42.7797; filter_avg_value_10=860.80; filter_adr20=11.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_1_day_low_no_stop,IONQ,2023-08-08,14.8515,,,2023-08-09,14.7485,1_day_low,3040,45148.52,-313.0,-0.006933,,,,1,99.0,entry=rsi2_next_open; setup_rsi2=4.73; raw_entry=open:14.8500; slippage_bps=1.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2023-08-07 00:00:00; filter_close=15.5800; filter_ma50=12.9848; filter_avg_value_10=215.38; filter_adr20=9.63; rs_bucket=rs90_100
