strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_2d_close_no_stop,SVM,2026-02-02,9.8899,,,2026-02-04,10.6094,hold_2d_close,12565,124266.34,9040.51,0.072751,,,,2,95.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:9.8800; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=10.0700; filter_ma50=9.0452; filter_avg_value_10=119.87; filter_adr20=7.09; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,SQM,2026-02-02,74.9038,,,2026-02-04,72.8774,hold_2d_close,1661,124415.28,-3365.87,-0.027054,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=2.45; raw_entry=open:74.8290; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=75.9760; filter_ma50=69.6772; filter_avg_value_10=130.46; filter_adr20=3.47; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,EXK,2026-02-02,10.7607,,,2026-02-04,11.8681,hold_2d_close,11554,124329.71,12794.55,0.102908,,,,2,94.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:10.7500; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=10.9300; filter_ma50=10.0584; filter_avg_value_10=261.10; filter_adr20=8.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,CDE,2026-02-02,20.2402,,,2026-02-04,20.7293,hold_2d_close,6144,124355.91,3004.6,0.024161,,,,2,93.0,entry=rsi2_next_open; setup_rsi2=1.92; raw_entry=open:20.2200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=20.4400; filter_ma50=18.8436; filter_avg_value_10=853.12; filter_adr20=7.73; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,TXG,2026-02-02,20.2202,,,2026-02-04,19.0409,hold_2d_close,6152,124394.68,-7254.82,-0.058321,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=2.61; raw_entry=open:20.2000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=20.2000; filter_ma50=18.5102; filter_avg_value_10=53.65; filter_adr20=6.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,KGC,2026-02-02,30.9432,,,2026-02-04,32.9068,hold_2d_close,4015,124236.78,7884.14,0.063461,,,,2,92.0,entry=rsi2_next_open; setup_rsi2=2.42; raw_entry=open:30.9122; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=31.5215; filter_ma50=29.9576; filter_avg_value_10=543.97; filter_adr20=4.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,COMP,2026-02-02,12.5125,,,2026-02-04,11.968,hold_2d_close,9948,124474.35,-5416.49,-0.043515,,,,2,91.0,entry=rsi2_next_open; setup_rsi2=3.64; raw_entry=open:12.5000; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-01-30 00:00:00; filter_close=12.5200; filter_ma50=11.2468; filter_avg_value_10=242.46; filter_adr20=5.18; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,PL,2026-02-03,24.004,,,2026-02-05,20.4096,hold_2d_close,5581,133966.21,-20060.4,-0.149742,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=4.48; raw_entry=open:23.9800; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-02-02 00:00:00; filter_close=22.8500; filter_ma50=19.5086; filter_avg_value_10=385.31; filter_adr20=8.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,USAS,2026-02-03,7.7277,,,2026-02-05,6.5634,hold_2d_close,17333,133944.57,-20180.63,-0.150664,,,,2,98.0,entry=rsi2_next_open; setup_rsi2=3.97; raw_entry=open:7.7200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-02-02 00:00:00; filter_close=7.0100; filter_ma50=5.7940; filter_avg_value_10=87.67; filter_adr20=9.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,SIDU,2026-02-03,2.7728,,,2026-02-05,2.1229,hold_2d_close,48228,133725.15,-31343.14,-0.234385,,,,2,97.0,entry=rsi2_next_open; setup_rsi2=4.08; raw_entry=open:2.7700; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-02-02 00:00:00; filter_close=2.5800; filter_ma50=2.2464; filter_avg_value_10=87.37; filter_adr20=19.34; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_2d_close_no_stop,TMQ,2026-02-03,5.2252,,,2026-02-05,4.5055,hold_2d_close,25599,133760.4,-18424.36,-0.137741,,,,2,96.0,entry=rsi2_next_open; setup_rsi2=5.00; raw_entry=open:5.2200; slippage_bps=10.0; initial_stop_mode=no_stop; initial_stop=nan; decision_date=2026-02-02 00:00:00; filter_close=4.9400; filter_ma50=4.9168; filter_avg_value_10=56.63; filter_adr20=9.25; rs_bucket=rs90_100
