strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_trail_1atr,QS,2025-07-30,9.3109,9.2,0.1109,2025-07-30,9.1991,same_day_stop_loss_red_candle,1104,10279.27,-123.48,-0.012013,-1.0083,-7.4905,-0.0084,0,97.0,entry=rsi2_next_open; setup_rsi2=2.33; raw_entry=open:9.3100; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=9.2800; filter_ma50=6.8516; filter_avg_value_10=1150.40; filter_adr20=12.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,ARQQ,2025-07-30,34.2534,33.62,0.6334,2025-07-30,33.6166,same_day_stop_loss_red_candle,300,10276.03,-191.04,-0.01859,-1.0053,-2.3419,1.968,0,95.0,entry=rsi2_next_open; setup_rsi2=2.16; raw_entry=open:34.2500; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=34.0100; filter_ma50=32.3380; filter_avg_value_10=38.79; filter_adr20=9.89; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,RYTM,2025-07-30,87.0387,84.72,2.3187,2025-07-30,84.7115,same_day_stop_loss_red_candle,118,10270.57,-274.61,-0.026737,-1.0037,-1.2501,0.0221,0,93.0,entry=rsi2_next_open; setup_rsi2=0.91; raw_entry=open:87.0300; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=85.6300; filter_ma50=70.8694; filter_avg_value_10=49.74; filter_adr20=4.08; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CIFR,2025-07-30,5.8006,5.64,0.1606,2025-07-30,5.6394,same_day_stop_loss_red_candle,1774,10290.23,-285.87,-0.027781,-1.0035,-3.1173,0.37,0,93.0,entry=rsi2_next_open; setup_rsi2=3.15; raw_entry=open:5.8000; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=5.6800; filter_ma50=4.7070; filter_avg_value_10=220.28; filter_adr20=9.33; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,KC,2025-07-30,13.8914,13.88,0.0114,2025-07-30,13.8786,same_day_stop_loss_red_candle,740,10279.63,-9.46,-0.00092,-1.1219,-24.7066,7.6924,0,91.0,entry=rsi2_next_open; setup_rsi2=4.01; raw_entry=open:13.8900; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=13.9900; filter_ma50=13.0585; filter_avg_value_10=37.24; filter_adr20=3.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CRSP,2025-07-30,60.5961,58.68,1.9161,2025-07-30,58.6741,same_day_stop_loss_red_candle,169,10240.73,-324.81,-0.031717,-1.0031,-2.143,0.4118,0,91.0,entry=rsi2_next_open; setup_rsi2=4.01; raw_entry=open:60.5900; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=59.0200; filter_ma50=48.1323; filter_avg_value_10=270.53; filter_adr20=6.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,PCT,2025-07-30,14.0714,13.964,0.1074,2025-07-30,13.9626,same_day_stop_loss_red_candle,731,10286.2,-79.54,-0.007732,-1.013,-6.158,0.8248,0,91.0,entry=rsi2_next_open; setup_rsi2=0.60; raw_entry=open:14.0700; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=14.0200; filter_ma50=12.7424; filter_avg_value_10=57.42; filter_adr20=5.96; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,SEDG,2025-07-30,25.3825,24.76,0.6225,2025-07-31,25.3475,trail_1atr,405,10279.93,-14.2,-0.001382,-0.0563,-1.498,4.4053,1,93.0,entry=rsi2_next_open; setup_rsi2=4.91; raw_entry=open:25.3800; slippage_bps=1.0; decision_date=2025-07-29 00:00:00; filter_close=24.9500; filter_ma50=21.9794; filter_avg_value_10=137.89; filter_adr20=9.29; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,TMC,2025-07-31,6.1506,5.96,0.1906,2025-07-31,5.9594,same_day_stop_loss_red_candle,1673,10289.98,-319.9,-0.031088,-1.0031,-2.5739,-0.0032,0,98.0,entry=rsi2_next_open; setup_rsi2=4.15; raw_entry=open:6.1500; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=6.1100; filter_ma50=5.9426; filter_avg_value_10=79.89; filter_adr20=9.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,PCT,2025-07-31,13.6414,13.41,0.2314,2025-07-31,13.4087,same_day_stop_loss_red_candle,753,10271.95,-175.23,-0.017059,-1.0058,-1.6051,0.3831,0,90.0,entry=rsi2_next_open; setup_rsi2=0.37; raw_entry=open:13.6400; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=13.6400; filter_ma50=12.8294; filter_avg_value_10=54.95; filter_adr20=5.96; rs_bucket=rs90_100
