strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,ASX,2025-11-20,14.61,13.79,0.82,2025-11-20,13.79,same_day_stop_loss_red_candle,692,10110.12,-567.44,-0.056126,-1.0,-1.0854,0.0854,0,90.0,setup_rsi2=0.81; next_open_entry; avg_value_10=109.9971M; adr20=2.8837; close_gt_ma50=True
rsi2,NVTS,2025-11-10,8.4,7.18,1.22,2025-11-21,7.18,stop_loss,1206,10130.4,-1471.32,-0.145238,-1.0,-1.2705,1.2623,9,97.0,setup_rsi2=1.72; next_open_entry; avg_value_10=359.9353M; adr20=13.1919; close_gt_ma50=True
rsi2,W,2025-11-19,96.12,94.19,1.93,2025-11-21,105.04,rsi2_gt_70_exit,105,10092.6,936.6,0.092801,4.6218,-1.0161,5.4456,2,96.0,setup_rsi2=3.27; next_open_entry; avg_value_10=389.5403M; adr20=5.5656; close_gt_ma50=True
rsi2,FORM,2025-11-19,49.3,47.83,1.47,2025-11-21,47.83,stop_loss,205,10106.5,-301.35,-0.029817,-1.0,-1.3401,2.5578,2,92.0,setup_rsi2=2.30; next_open_entry; avg_value_10=43.4490M; adr20=5.5469; close_gt_ma50=True
rsi2,NEGG,2025-11-20,60.77,55.55,5.22,2025-11-21,70.73,rsi2_gt_70_exit,166,10087.82,1653.36,0.163897,1.908,-0.6513,2.3065,1,99.0,setup_rsi2=0.60; next_open_entry; avg_value_10=26.2456M; adr20=15.9256; close_gt_ma50=True
rsi2,VIAV,2025-11-21,16.0,15.86,0.14,2025-11-21,15.86,same_day_stop_loss_red_candle,633,10128.0,-88.62,-0.00875,-1.0,-3.5,0.2143,0,93.0,setup_rsi2=0.46; next_open_entry; avg_value_10=61.8813M; adr20=4.4300; close_gt_ma50=True
rsi2,INCY,2025-11-20,102.5,100.3,2.2,2025-11-24,106.24,rsi2_gt_70_exit,98,10045.0,366.52,0.036488,1.7,-0.6455,1.8955,2,91.0,setup_rsi2=1.64; next_open_entry; avg_value_10=222.8405M; adr20=4.2470; close_gt_ma50=True
rsi2,MU,2025-11-21,204.3615,199.4356,4.9259,2025-11-24,223.7456,rsi2_gt_70_exit,49,10013.72,949.82,0.094852,3.9351,-2.4219,4.3773,1,95.0,setup_rsi2=2.42; next_open_entry; avg_value_10=7345.4775M; adr20=6.2020; close_gt_ma50=True
rsi2,SANM,2025-11-21,144.45,142.75,1.7,2025-11-24,153.71,rsi2_gt_70_exit,70,10111.5,648.2,0.064105,5.4471,-1.0588,5.9706,1,93.0,setup_rsi2=3.03; next_open_entry; avg_value_10=120.3960M; adr20=6.2003; close_gt_ma50=True
rsi2,CHRW,2025-11-21,147.93,147.3939,0.536,2025-11-24,153.4291,rsi2_gt_70_exit,68,10059.24,373.94,0.037174,10.2593,-0.2407,13.2593,1,92.0,setup_rsi2=3.53; next_open_entry; avg_value_10=211.1411M; adr20=2.6387; close_gt_ma50=True
