strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ABVX,2026-04-08,120.300003,113.75,6.550003,2026-04-15,120.867001,ma10_break,100,12030.0,56.7,0.004713,0.086565,-0.503817,1.239693,7,95.0,"buy_stop=pivot_high_1_1:120.0000; entry=max(open,pivot)"
breakout,ALTO,2026-04-09,4.73,4.34,0.39,2026-04-15,4.736,ma10_break,2533,11981.09,15.2,0.001268,0.015384,-0.846154,1.333334,6,99.0,"buy_stop=pivot_high_1_1:4.7300; entry=max(open,pivot)"
breakout,ANL,2026-04-15,15.4,12.34,3.059999,2026-04-15,12.34,same_day_stop_loss,785,12089.0,-2402.1,-0.198701,-1.0,-2.679739,0.026144,0,99.0,"buy_stop=pivot_high_1_1:12.1500; entry=max(open,pivot)"
breakout,ARMP,2026-03-31,9.52,8.37,1.150001,2026-04-16,11.546,ma10_break,1222,11633.44,2475.77,0.212815,1.761738,-0.73913,3.21739,16,97.0,"buy_stop=pivot_high_1_1:9.5200; entry=max(open,pivot)"
breakout,ANAB,2026-04-06,40.060001,37.353333,2.706669,2026-04-16,44.010666,ma10_break,294,11777.64,1161.5,0.098619,1.459604,-0.625615,3.253692,10,94.0,"buy_stop=pivot_high_1_1:40.0600; entry=max(open,pivot)"
breakout,ATI,2026-04-08,157.520004,145.889999,11.630005,2026-04-16,155.957002,ma10_break,76,11971.52,-118.79,-0.009923,-0.134394,-0.269132,0.667239,8,90.0,"buy_stop=pivot_high_1_1:155.4100; entry=max(open,pivot)"
breakout,AIR,2026-04-14,124.559998,119.480003,5.079994,2026-04-16,119.480003,stop_loss,98,12206.88,-497.84,-0.040784,-1.0,-1.377954,0.521654,2,90.0,"buy_stop=pivot_high_1_1:124.5600; entry=max(open,pivot)"
breakout,AGCC,2026-04-15,16.23,14.42,1.809999,2026-04-16,15.2285,ma10_break,748,12140.04,-749.12,-0.061707,-0.553315,-0.723757,0.149172,1,93.0,"buy_stop=pivot_high_1_1:16.2300; entry=max(open,pivot)"
breakout,ALOY,2026-04-15,12.68,11.77,0.91,2026-04-16,11.77,stop_loss,958,12147.44,-871.78,-0.071767,-1.0,-1.192308,0.602197,1,90.0,"buy_stop=pivot_high_1_1:10.4000; entry=max(open,pivot)"
breakout,AGX,2026-04-17,618.367191,594.33675,24.030441,2026-04-17,594.33675,same_day_stop_loss,20,12367.34,-480.61,-0.038861,-1.0,-1.181706,0.046984,0,95.0,"buy_stop=pivot_high_1_1:618.3672; entry=max(open,pivot)"
breakout,AUGO,2026-03-31,73.175003,69.330002,3.845001,2026-04-21,102.998,ma10_break,159,11634.83,4741.86,0.407557,7.756304,-0.024708,9.660854,21,96.0,"buy_stop=pivot_high_1_1:73.0000; entry=max(open,pivot)"
breakout,AMLX,2026-04-06,14.94,13.93,1.009999,2026-04-21,17.236,ma10_break,789,11787.66,1811.54,0.153681,2.273269,-0.039604,3.628715,15,90.0,"buy_stop=pivot_high_1_1:14.2700; entry=max(open,pivot)"
breakout,AMAT,2026-04-08,378.890015,345.5,33.390015,2026-04-21,394.144,ma10_break,31,11745.59,472.87,0.04026,0.456843,-0.033244,0.850554,13,92.0,"buy_stop=pivot_high_1_1:359.0000; entry=max(open,pivot)"
breakout,ANRO,2026-04-13,23.870001,21.74,2.130001,2026-04-21,25.063,ma10_break,512,12221.44,610.82,0.049979,0.560093,-0.742254,1.990609,8,99.0,"buy_stop=pivot_high_1_1:23.8700; entry=max(open,pivot)"
breakout,ASTI,2026-04-15,4.392,3.85,0.542,2026-04-21,4.79,ma10_break,2747,12064.82,1093.31,0.090619,0.734317,-0.723247,4.553503,6,96.0,"buy_stop=pivot_high_1_1:4.3920; entry=max(open,pivot)"
breakout,AGL,2026-04-15,22.309999,21.309999,1.0,2026-04-21,24.229,ma10_break,543,12114.33,1042.02,0.086015,1.919,-0.42,10.050001,6,94.0,"buy_stop=pivot_high_1_1:12.1750; entry=max(open,pivot)"
breakout,ANNX,2026-04-15,6.21,5.75,0.46,2026-04-21,6.15,ma10_break,1956,12146.76,-117.36,-0.009662,-0.130435,-0.652174,0.880434,6,93.0,"buy_stop=pivot_high_1_1:6.2100; entry=max(open,pivot)"
breakout,ADAG,2026-04-20,4.03,3.73,0.3,2026-04-21,3.73,stop_loss,3119,12569.57,-935.7,-0.074442,-1.0,-1.0,0.233332,1,91.0,"buy_stop=pivot_high_1_1:4.0300; entry=max(open,pivot)"
breakout,ALEC,2026-04-20,2.665,2.49,0.175,2026-04-21,2.49,stop_loss,4716,12568.14,-825.3,-0.065666,-1.0,-1.228571,0.422858,1,90.0,"buy_stop=pivot_high_1_1:2.6650; entry=max(open,pivot)"
breakout,AGL,2026-04-21,28.83,26.549999,2.280001,2026-04-21,26.549999,same_day_stop_loss,434,12512.22,-989.52,-0.079084,-1.0,-2.495614,0.596491,0,94.0,"buy_stop=pivot_high_1_1:12.1750; entry=max(open,pivot)"
breakout,AAOI,2026-04-08,125.120003,108.779999,16.340004,2026-04-22,150.623003,ma10_break,96,12011.52,2448.29,0.203828,1.560771,-0.372705,2.955324,14,99.0,"buy_stop=pivot_high_1_1:118.7500; entry=max(open,pivot)"
breakout,AEIS,2026-04-08,363.209991,328.540009,34.669983,2026-04-22,378.385007,ma10_break,33,11985.93,500.78,0.04178,0.437699,-0.236804,0.98731,14,96.0,"buy_stop=pivot_high_1_1:340.6000; entry=max(open,pivot)"
breakout,AIRG,2026-04-08,5.658,5.251,0.407,2026-04-22,6.242,ma10_break,2136,12085.49,1247.42,0.103217,1.434889,-0.339066,2.584766,14,90.0,"buy_stop=pivot_high_1_1:5.6580; entry=max(open,pivot)"
