strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_3d_close,FORM,2026-01-02,57.8558,,,2026-01-07,62.7137,hold_3d_close,4103,237382.28,19932.15,0.083966,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=2.54; raw_entry=open:57.8500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=55.7800; filter_ma50=53.1938; filter_avg_value_10=56.25; filter_adr20=3.29; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,FN,2026-01-02,464.7865,,,2026-01-07,470.4529,hold_3d_close,511,237505.88,2895.57,0.012192,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=3.52; raw_entry=open:464.7400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=455.2800; filter_ma50=449.5932; filter_avg_value_10=220.94; filter_adr20=4.82; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,VIAV,2026-01-02,18.0518,,,2026-01-07,18.5381,hold_3d_close,13222,238680.96,6430.42,0.026941,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=4.20; raw_entry=open:18.0500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-12-31 00:00:00; filter_close=17.8200; filter_ma50=17.0820; filter_avg_value_10=40.21; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,WVE,2026-01-05,15.7416,,,2026-01-08,14.8285,hold_3d_close,15160,238642.26,-13841.94,-0.058003,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=3.79; raw_entry=open:15.7400; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=15.9500; filter_ma50=11.0478; filter_avg_value_10=45.24; filter_adr20=11.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,COGT,2026-01-05,34.5935,,,2026-01-08,35.5664,hold_3d_close,6866,237518.69,6680.51,0.028126,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=0.99; raw_entry=open:34.5900; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=34.7400; filter_ma50=31.9364; filter_avg_value_10=88.85; filter_adr20=5.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,NUVB,2026-01-05,8.5008,,,2026-01-08,8.4492,hold_3d_close,27914,237292.73,-1443.02,-0.006081,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=3.98; raw_entry=open:8.5000; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=8.5800; filter_ma50=6.9862; filter_avg_value_10=51.49; filter_adr20=5.60; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,VERA,2026-01-05,48.2248,,,2026-01-08,47.6852,hold_3d_close,4925,237507.25,-2657.5,-0.011189,,,,3,96.0,entry=rsi2_next_open; setup_rsi2=3.11; raw_entry=open:48.2200; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=48.6200; filter_ma50=37.3344; filter_avg_value_10=58.66; filter_adr20=5.95; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,ASM,2026-01-05,6.1306,,,2026-01-08,6.1294,hold_3d_close,38654,236972.72,-47.39,-0.0002,,,,3,95.0,entry=rsi2_next_open; setup_rsi2=2.32; raw_entry=open:6.1300; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=5.9200; filter_ma50=5.3376; filter_avg_value_10=34.50; filter_adr20=6.21; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,KYMR,2026-01-05,72.5973,,,2026-01-08,74.9725,hold_3d_close,3260,236667.05,7743.32,0.032718,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=0.34; raw_entry=open:72.5900; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=72.7600; filter_ma50=70.4174; filter_avg_value_10=60.86; filter_adr20=5.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,ESTA,2026-01-05,68.6669,,,2026-01-08,72.9127,hold_3d_close,3446,236626.03,14631.15,0.061832,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:68.6600; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=68.8400; filter_ma50=65.7402; filter_avg_value_10=25.43; filter_adr20=4.52; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,LQDA,2026-01-05,31.3631,,,2026-01-08,31.7568,hold_3d_close,7520,235850.79,2960.53,0.012553,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=3.08; raw_entry=open:31.3600; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=31.4000; filter_ma50=30.1040; filter_avg_value_10=37.00; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,NRIX,2026-01-05,18.0618,,,2026-01-08,18.6281,hold_3d_close,13092,236465.16,7414.4,0.031355,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=1.74; raw_entry=open:18.0600; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=18.0600; filter_ma50=15.7855; filter_avg_value_10=28.32; filter_adr20=5.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,RIGL,2026-01-05,41.7042,,,2026-01-08,44.4956,hold_3d_close,5652,235711.97,15776.88,0.066933,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=3.35; raw_entry=open:41.7000; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-02 00:00:00; filter_close=41.8300; filter_ma50=40.5546; filter_avg_value_10=28.11; filter_adr20=5.41; rs_bucket=rs90_100
