strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_rsi2_gt_70,RGTI,2025-10-22,38.5239,,,2025-10-30,42.5157,rsi2_gt_70,4691,180715.39,18725.98,0.103621,,,,6,99.0,entry=rsi2_next_open; setup_rsi2=3.71; raw_entry=open:38.5200; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-21 00:00:00; filter_close=40.0000; filter_ma50=27.2990; filter_avg_value_10=6549.46; filter_adr20=13.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,TMC,2025-10-24,7.3507,,,2025-10-30,7.1193,rsi2_gt_70,30035,220779.32,-6951.51,-0.031486,,,,4,95.0,entry=rsi2_next_open; setup_rsi2=4.95; raw_entry=open:7.3500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-23 00:00:00; filter_close=7.1500; filter_ma50=6.4929; filter_avg_value_10=130.56; filter_adr20=9.90; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,TNGX,2025-10-24,7.8408,,,2025-10-30,7.9692,rsi2_gt_70,28074,220122.17,3605.22,0.016378,,,,4,93.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:7.8400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-23 00:00:00; filter_close=7.5300; filter_ma50=7.4973; filter_avg_value_10=41.65; filter_adr20=8.91; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,MLYS,2025-10-27,40.264,,,2025-10-30,41.1159,rsi2_gt_70,5587,224955.1,4759.36,0.021157,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=3.23; raw_entry=open:40.2600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-24 00:00:00; filter_close=39.9000; filter_ma50=33.5704; filter_avg_value_10=47.26; filter_adr20=5.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,BTU,2025-10-30,26.0297,,,2025-11-03,29.7963,rsi2_gt_70,8347,217270.07,31439.85,0.144704,,,,2,90.0,entry=rsi2_next_open; setup_rsi2=4.38; raw_entry=open:26.0271; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-29 00:00:00; filter_close=26.8731; filter_ma50=24.3019; filter_avg_value_10=121.85; filter_adr20=6.07; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,ALM,2025-10-28,7.2707,,,2025-11-07,6.9993,rsi2_gt_70,29789,216587.69,-8085.54,-0.037331,,,,8,94.0,entry=rsi2_next_open; setup_rsi2=3.54; raw_entry=open:7.2700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-27 00:00:00; filter_close=6.6800; filter_ma50=5.8926; filter_avg_value_10=40.87; filter_adr20=9.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,NG,2025-10-28,7.6708,,,2025-11-07,8.1892,rsi2_gt_70,28297,217059.7,14669.55,0.067583,,,,8,92.0,entry=rsi2_next_open; setup_rsi2=3.57; raw_entry=open:7.6700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-27 00:00:00; filter_close=8.1300; filter_ma50=7.9770; filter_avg_value_10=41.53; filter_adr20=7.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,UAMY,2025-10-30,9.2509,,,2025-11-07,8.3192,rsi2_gt_70,23660,218876.89,-22045.38,-0.10072,,,,6,98.0,entry=rsi2_next_open; setup_rsi2=4.37; raw_entry=open:9.2500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-29 00:00:00; filter_close=8.4000; filter_ma50=7.7124; filter_avg_value_10=251.16; filter_adr20=15.89; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,LAC,2025-10-31,5.6006,,,2025-11-07,4.8795,rsi2_gt_70,39704,222364.63,-28628.48,-0.128746,,,,5,93.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:5.6000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-30 00:00:00; filter_close=5.6200; filter_ma50=5.2340; filter_avg_value_10=184.66; filter_adr20=12.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,HBM,2025-11-05,15.1568,,,2025-11-07,16.1234,rsi2_gt_70,13114,198766.25,12675.6,0.063771,,,,2,90.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:15.1553; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-04 00:00:00; filter_close=14.8454; filter_ma50=14.6946; filter_avg_value_10=101.43; filter_adr20=4.19; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,IE,2025-10-30,14.0014,,,2025-11-10,13.1487,rsi2_gt_70,15478,216713.67,-13198.33,-0.060902,,,,7,92.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:14.0000; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-29 00:00:00; filter_close=14.0100; filter_ma50=11.7026; filter_avg_value_10=38.82; filter_adr20=7.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,BETR,2025-11-05,66.0566,,,2025-11-10,66.0634,rsi2_gt_70,2987,197311.09,20.27,0.000103,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=4.73; raw_entry=open:66.0500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-04 00:00:00; filter_close=64.8900; filter_ma50=50.2189; filter_avg_value_10=58.70; filter_adr20=15.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,ATRO,2025-11-05,43.0543,,,2025-11-10,47.8252,rsi2_gt_70,4568,196672.06,21793.54,0.110812,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=3.82; raw_entry=open:43.0500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-04 00:00:00; filter_close=47.9900; filter_ma50=44.2726; filter_avg_value_10=26.79; filter_adr20=3.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,USAR,2025-10-28,21.2521,,,2025-11-11,17.7682,rsi2_gt_70,10245,217728.02,-35692.57,-0.163932,,,,10,94.0,entry=rsi2_next_open; setup_rsi2=4.15; raw_entry=open:21.2500; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-27 00:00:00; filter_close=21.6000; filter_ma50=20.1498; filter_avg_value_10=709.11; filter_adr20=15.27; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,REAL,2025-11-05,11.8712,,,2025-11-11,15.4785,rsi2_gt_70,16583,196859.89,59819.27,0.303867,,,,4,94.0,entry=rsi2_next_open; setup_rsi2=2.45; raw_entry=open:11.8700; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-04 00:00:00; filter_close=11.1900; filter_ma50=10.2635; filter_avg_value_10=36.75; filter_adr20=5.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,PRAX,2025-11-06,164.0264,,,2025-11-11,183.5416,rsi2_gt_70,1104,181085.14,21544.83,0.118976,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=3.70; raw_entry=open:164.0100; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-05 00:00:00; filter_close=164.6400; filter_ma50=88.6283; filter_avg_value_10=149.49; filter_adr20=9.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,REPL,2025-11-06,8.5609,,,2025-11-11,9.1291,rsi2_gt_70,21126,180856.65,12004.44,0.066375,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=3.55; raw_entry=open:8.5600; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-05 00:00:00; filter_close=8.5800; filter_ma50=6.0204; filter_avg_value_10=30.21; filter_adr20=8.79; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,ATRO,2025-11-10,47.7148,,,2025-11-11,47.9352,rsi2_gt_70,4199,200354.32,925.6,0.00462,,,,1,91.0,entry=rsi2_next_open; setup_rsi2=1.10; raw_entry=open:47.7100; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-11-07 00:00:00; filter_close=46.9800; filter_ma50=44.8784; filter_avg_value_10=30.66; filter_adr20=4.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_rsi2_gt_70,PLUG,2025-10-22,3.0403,,,2025-11-12,2.7297,rsi2_gt_70,58500,177857.78,-18168.75,-0.102153,,,,15,95.0,entry=rsi2_next_open; setup_rsi2=3.49; raw_entry=open:3.0400; slippage_bps=1.0; initial_stop=disabled; decision_date=2025-10-21 00:00:00; filter_close=3.1200; filter_ma50=2.3194; filter_avg_value_10=573.65; filter_adr20=13.56; rs_bucket=rs90_100
