strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,ACHR,2025-06-04,9.76,9.66,0.1,2025-06-04,9.66,same_day_stop_loss,1029,10043.04,-102.9,-0.010246,-1.0,-4.1,0.9,0,93.0,setup_rsi2=3.43; next_open_entry; avg_value_10=285.4702M; adr20=7.3192; close_gt_ma50=True
rsi2,ACHR,2025-06-05,9.65,9.35,0.3,2025-06-05,9.35,same_day_stop_loss,1039,10026.35,-311.7,-0.031088,-1.0,-1.35,0.4,0,92.0,setup_rsi2=2.41; next_open_entry; avg_value_10=280.2396M; adr20=7.4206; close_gt_ma50=True
rsi2,MVST,2025-06-05,3.39,3.33,0.06,2025-06-06,3.49,ma10_break,2959,10031.01,295.9,0.029498,1.6667,-0.1667,9.5,1,99.0,setup_rsi2=3.24; next_open_entry; avg_value_10=28.4300M; adr20=12.0768; close_gt_ma50=True
rsi2,HTZ,2025-06-06,5.97,5.95,0.02,2025-06-06,5.95,same_day_stop_loss,1683,10047.51,-33.66,-0.00335,-1.0,-5.5,8.5,0,91.0,setup_rsi2=1.67; next_open_entry; avg_value_10=48.2491M; adr20=8.5085; close_gt_ma50=True
rsi2,OKLO,2025-06-06,47.1,46.01,1.09,2025-06-09,51.7,ma10_break,213,10032.3,979.8,0.097665,4.2202,-0.6422,7.0092,1,98.0,setup_rsi2=3.24; next_open_entry; avg_value_10=1581.8740M; adr20=11.7638; close_gt_ma50=True
rsi2,RGTI,2025-06-06,11.22,10.71,0.51,2025-06-09,11.83,ma10_break,895,10041.9,545.95,0.054367,1.1961,-0.4706,1.1961,1,97.0,setup_rsi2=2.17; next_open_entry; avg_value_10=667.7428M; adr20=10.6839; close_gt_ma50=True
rsi2,IONQ,2025-06-06,37.67,35.927,1.743,2025-06-09,41.49,ma10_break,266,10020.22,1016.12,0.101407,2.1916,-0.4991,2.7998,1,96.0,setup_rsi2=1.96; next_open_entry; avg_value_10=1034.0157M; adr20=10.1332; close_gt_ma50=True
rsi2,ACHR,2025-06-06,9.66,9.245,0.415,2025-06-09,10.246,ma10_break,1039,10036.74,608.85,0.060663,1.412,-0.3349,4.8434,1,93.0,setup_rsi2=0.79; next_open_entry; avg_value_10=288.9107M; adr20=7.5564; close_gt_ma50=True
rsi2,DXYZ,2025-06-06,39.12,34.58,4.54,2025-06-09,38.93,ma10_break,256,10014.72,-48.64,-0.004857,-0.0418,-0.2467,0.9846,1,91.0,setup_rsi2=2.99; next_open_entry; avg_value_10=33.1821M; adr20=7.9581; close_gt_ma50=True
rsi2,ODD,2025-06-10,69.83,69.43,0.4,2025-06-10,69.43,same_day_stop_loss,144,10055.52,-57.6,-0.005728,-1.0,-1.775,4.11,0,93.0,setup_rsi2=3.47; next_open_entry; avg_value_10=100.1044M; adr20=4.3226; close_gt_ma50=True
rsi2,DUOL,2025-06-11,486.94,475.41,11.53,2025-06-11,475.41,same_day_stop_loss,20,9738.8,-230.6,-0.023678,-1.0,-1.3027,0.0833,0,91.0,setup_rsi2=4.41; next_open_entry; avg_value_10=432.8184M; adr20=3.4821; close_gt_ma50=True
rsi2,RBRK,2025-06-11,87.55,86.54,1.01,2025-06-12,88.8,ma10_break,115,10068.25,143.75,0.014278,1.2376,-0.8911,2.6238,1,94.0,setup_rsi2=1.33; next_open_entry; avg_value_10=466.7917M; adr20=4.1272; close_gt_ma50=True
rsi2,GEV,2025-06-11,468.4917,457.6415,10.8502,2025-06-12,477.7613,ma10_break,21,9838.33,194.66,0.019786,0.8543,-0.5076,1.8567,1,94.0,setup_rsi2=3.53; next_open_entry; avg_value_10=1506.5449M; adr20=3.2190; close_gt_ma50=True
rsi2,NRG,2025-06-11,148.8079,146.0198,2.7881,2025-06-12,146.5537,ma10_break,67,9970.13,-151.03,-0.015149,-0.8085,-0.8085,0.5709,1,92.0,setup_rsi2=1.81; next_open_entry; avg_value_10=510.3340M; adr20=2.8229; close_gt_ma50=True
rsi2,DUOL,2025-06-12,475.36,471.92,3.44,2025-06-12,471.92,same_day_stop_loss,21,9982.56,-72.24,-0.007237,-1.0,-1.5145,2.096,0,91.0,setup_rsi2=2.16; next_open_entry; avg_value_10=432.4195M; adr20=3.4981; close_gt_ma50=True
rsi2,NVTS,2025-05-22,4.905,1.88,3.025,2025-06-16,7.062,ma10_break,2038,9996.39,4395.97,0.439755,0.7131,-0.2893,1.4099,17,98.0,setup_rsi2=3.13; next_open_entry; avg_value_10=156.2000M; adr20=7.0982; close_gt_ma50=True
rsi2,TNXP,2025-06-13,33.5,29.0,4.5,2025-06-16,32.0,ma10_break,301,10083.5,-451.5,-0.044776,-0.3333,-0.4778,0.7711,1,96.0,setup_rsi2=4.19; next_open_entry; avg_value_10=29.0933M; adr20=13.9946; close_gt_ma50=True
rsi2,TNXP,2025-06-16,32.0,31.5,0.5,2025-06-16,31.5,same_day_stop_loss,314,10048.0,-157.0,-0.015625,-1.0,-1.3,9.94,0,97.0,setup_rsi2=1.83; next_open_entry; avg_value_10=29.4758M; adr20=13.8510; close_gt_ma50=True
rsi2,AS,2025-06-16,36.75,36.02,0.73,2025-06-17,36.02,stop_loss,274,10069.5,-200.02,-0.019864,-1.0,-1.1233,1.0685,1,94.0,setup_rsi2=2.92; next_open_entry; avg_value_10=154.5060M; adr20=3.3713; close_gt_ma50=True
rsi2,APP,2025-06-16,367.79,360.749,7.041,2025-06-17,360.749,stop_loss,27,9930.33,-190.11,-0.019144,-1.0,-1.2896,1.3095,1,92.0,setup_rsi2=1.45; next_open_entry; avg_value_10=2029.1444M; adr20=5.0174; close_gt_ma50=True
rsi2,URBN,2025-06-16,68.59,67.41,1.18,2025-06-17,69.596,ma10_break,146,10014.14,146.88,0.014667,0.8526,-0.2288,2.3475,1,92.0,setup_rsi2=1.20; next_open_entry; avg_value_10=119.9752M; adr20=3.6692; close_gt_ma50=True
rsi2,INOD,2025-06-16,40.99,39.15,1.84,2025-06-17,44.608,ma10_break,245,10042.55,886.41,0.088265,1.9663,-0.1033,3.3696,1,91.0,setup_rsi2=4.49; next_open_entry; avg_value_10=125.8722M; adr20=9.2736; close_gt_ma50=True
rsi2,CVNA,2025-06-17,57.7,56.734,0.966,2025-06-18,58.24,ma10_break,174,10039.8,93.96,0.009359,0.559,0.0,4.1822,1,90.0,setup_rsi2=1.16; next_open_entry; avg_value_10=1227.4384M; adr20=3.9152; close_gt_ma50=True
rsi2,HSAI,2025-06-18,17.83,17.695,0.135,2025-06-20,18.2,ma10_break,565,10073.95,209.05,0.020752,2.7407,-0.963,4.963,2,94.0,setup_rsi2=4.98; next_open_entry; avg_value_10=50.1100M; adr20=7.7084; close_gt_ma50=True
rsi2,PL,2025-06-18,5.1,5.02,0.08,2025-06-20,5.02,stop_loss,1977,10082.7,-158.16,-0.015686,-1.0,-1.75,1.5,2,94.0,setup_rsi2=3.83; next_open_entry; avg_value_10=99.7524M; adr20=7.7253; close_gt_ma50=True
rsi2,ASPI,2025-06-18,7.72,7.545,0.175,2025-06-20,7.545,stop_loss,1306,10082.32,-228.55,-0.022668,-1.0,-1.4857,2.2857,2,94.0,setup_rsi2=4.32; next_open_entry; avg_value_10=35.5274M; adr20=10.1122; close_gt_ma50=True
rsi2,SRRK,2025-06-18,33.5,30.965,2.535,2025-06-20,33.514,ma10_break,301,10083.5,4.21,0.000418,0.0055,-0.1834,1.3807,2,91.0,setup_rsi2=4.28; next_open_entry; avg_value_10=51.8122M; adr20=5.7957; close_gt_ma50=True
rsi2,AAP,2025-06-18,47.4049,46.8754,0.5296,2025-06-20,47.8462,ma10_break,212,10049.85,93.55,0.009309,0.8333,-0.2037,2.2037,2,90.0,setup_rsi2=4.05; next_open_entry; avg_value_10=94.9320M; adr20=5.3424; close_gt_ma50=True
rsi2,PL,2025-06-23,4.97,4.96,0.01,2025-06-23,4.96,same_day_stop_loss,2038,10128.86,-20.38,-0.002012,-1.0,-7.0001,39.501,0,95.0,setup_rsi2=4.91; next_open_entry; avg_value_10=57.2030M; adr20=7.7550; close_gt_ma50=True
rsi2,TMDX,2025-06-23,123.0,121.3,1.7,2025-06-23,121.3,same_day_stop_loss,82,10086.0,-139.4,-0.013821,-1.0,-1.5529,3.0588,0,91.0,setup_rsi2=0.78; next_open_entry; avg_value_10=128.8500M; adr20=4.1670; close_gt_ma50=True
rsi2,AGX,2025-06-23,201.8327,192.7055,9.1272,2025-06-24,211.7255,ma10_break,50,10091.63,494.64,0.049015,1.0839,-0.3268,1.3845,1,94.0,setup_rsi2=3.80; next_open_entry; avg_value_10=122.5806M; adr20=5.6380; close_gt_ma50=True
rsi2,OKLO,2025-06-24,57.83,52.12,5.71,2025-06-25,61.575,ma10_break,174,10062.42,651.63,0.064759,0.6559,-0.4345,1.2172,1,98.0,setup_rsi2=4.25; next_open_entry; avg_value_10=1644.9282M; adr20=11.9471; close_gt_ma50=True
rsi2,APLD,2025-06-24,10.15,9.41,0.74,2025-06-25,10.56,ma10_break,991,10058.65,406.31,0.040394,0.5541,-0.6081,0.8108,1,95.0,setup_rsi2=3.82; next_open_entry; avg_value_10=517.0175M; adr20=11.2722; close_gt_ma50=True
rsi2,ASPI,2025-06-24,7.38,7.11,0.27,2025-06-25,7.11,stop_loss,1364,10066.32,-368.28,-0.036585,-1.0,-2.0185,1.6296,1,93.0,setup_rsi2=2.76; next_open_entry; avg_value_10=27.8216M; adr20=9.2587; close_gt_ma50=True
