date,equity,cash_realized,open_positions,exposure
2024-09-30,1045274.8909688437,978391.3100000008,40,405800.1661858101
2024-10-01,1036011.2534514293,976386.7800000007,36,365354.6695446442
2024-10-02,1038564.8828661664,981064.7800000006,36,367080.27021855814
2024-10-03,1029956.7649676693,979123.6600000006,35,357191.0400836916
2024-10-04,1043490.74510357,974656.4600000005,40,409095.6438021561
2024-10-07,1064816.298704255,978640.1100000005,37,379559.744448302
2024-10-08,1055497.4667182548,989408.8400000004,38,392244.295926003
2024-10-09,1035059.6148300896,989940.4800000006,37,382874.48548140953
2024-10-10,1024439.816813346,1001144.4000000006,32,331010.61708643864
2024-10-11,1030544.5427864362,1001736.8600000006,37,382325.5244876436
2024-10-14,1029385.3240607297,993896.7600000006,39,402495.2093783205
2024-10-15,1022994.8202748554,989109.4500000007,36,370261.1236578692
2024-10-16,1033575.9116432042,992648.3700000006,39,401565.03963559726
2024-10-17,1035936.1452995786,992329.9100000006,41,421853.4349799248
2024-10-18,1047404.1822819475,990225.2700000007,45,464282.2972996667
2024-10-21,1051103.4416457028,991943.7400000007,45,465348.17056825757
2024-10-22,1053712.9601442588,995789.4100000007,46,474824.8236958354
2024-10-23,1045823.4193729992,996791.1500000008,41,423425.7491250647
2024-10-24,1047426.8999221296,994389.5600000009,40,413347.0289558781
2024-10-25,1054952.467470829,992719.1300000008,41,424613.33272522816
2024-10-28,1065190.5052598992,992621.3300000008,43,446214.3577380674
2024-10-29,1063932.318154784,991084.0600000008,40,415779.2136070397
2024-10-30,1058746.084465019,995496.8700000007,41,427384.21131980815
2024-10-31,1045016.3588033882,994392.7500000007,34,354452.339939479
2024-11-01,1052028.903036648,994228.0400000006,37,386277.5002206416
2024-11-04,1050868.4688240793,1015060.2900000007,31,323303.80792378227
2024-11-05,1055236.1184169082,1014195.4900000008,33,344396.84803580085
2024-11-06,1079621.539813745,1013371.4900000008,44,462977.75261926936
2024-11-07,1092468.7425319445,1012632.6200000008,51,539837.8974390691
2024-11-08,1124514.7818174707,1008811.4800000007,53,563898.3126595683
2024-11-11,1136157.7891934502,1002478.6300000007,54,577787.472460813
2024-11-12,1138996.0699268794,1005261.1500000007,59,636798.9038229017
2024-11-13,1127790.699743791,1001769.5800000008,56,608945.8385531045
2024-11-14,1103989.407739045,1011094.4800000007,46,500219.4125226533
2024-11-15,1079038.7641480893,1018404.0200000007,36,392612.97281663294
2024-11-18,1078100.590892331,1021263.6900000006,36,391910.1705576646
2024-11-19,1082257.252480828,1023810.9000000007,34,369011.83242947026
2024-11-20,1076743.9803284074,1025092.1600000007,33,357752.24834997224
2024-11-21,1093003.790759263,1023877.1600000007,41,445173.64806482836
2024-11-22,1110558.8158425665,1023877.1600000007,47,511643.5780555968
2024-11-25,1132195.9023879676,1021288.7300000007,50,545830.7583080435
2024-11-26,1114219.958243738,1014244.5000000007,45,491144.7682860994
2024-11-27,1125359.2786118276,1013123.7500000007,47,513583.97295029165
2024-11-29,1137188.5757347448,1011879.9600000007,48,525259.7613242387
2024-12-02,1123317.1200406782,1013475.2900000005,42,461479.2640829243
2024-12-03,1131024.7872054693,1013913.4900000005,40,441324.0974850447
2024-12-04,1134274.3347539448,1012477.4300000005,41,453674.72835479083
2024-12-05,1123789.684078519,1025395.4200000004,41,455141.2768620044
2024-12-06,1140384.2570149268,1025750.3700000003,38,423571.3522755492
2024-12-09,1145131.5025484785,1030922.6100000005,40,448146.4442337387
2024-12-10,1140391.808582767,1030646.3200000003,39,437291.7835833662
2024-12-11,1134871.157090691,1037651.4900000003,38,426895.1224608057
2024-12-12,1131490.7061332706,1037879.1500000004,33,370379.82470178604
2024-12-13,1143954.809348702,1038689.4200000004,34,382656.28654079046
2024-12-16,1158545.9221380658,1038738.8900000004,37,418186.6939156493
2024-12-17,1171303.4331836791,1056177.9300000004,33,374275.91416899767
2024-12-18,1154994.1258328052,1055657.6800000004,24,272863.12783209886
2024-12-19,1129745.627194366,1057079.6300000004,21,238626.11194507685
2024-12-20,1142178.987193689,1061489.2800000005,22,250169.14582578745
2024-12-23,1152730.9602218575,1056661.1400000004,27,307855.87174539175
2024-12-24,1166150.4746228126,1055312.7500000002,28,319677.94054261205
2024-12-26,1230958.1156075671,1053581.2300000002,41,480831.624631319
2024-12-27,1233744.5014645716,1049155.5100000005,35,408558.2304861983
2024-12-30,1245963.2431404872,1048982.2000000004,37,434534.4503611764
2024-12-31,1206446.2675414607,1050916.1000000006,37,434809.861859723
2025-01-02,1215641.9047554252,1047541.3700000005,34,399904.13248769846
2025-01-03,1256990.5328564497,1046826.5300000005,39,462141.62405244913
2025-01-06,1273350.2131553555,1047518.4200000004,44,527273.6863007119
2025-01-07,1236658.6455612378,1086806.5200000005,38,455643.7169572115
2025-01-08,1191371.408053627,1083567.99,31,368346.1211819649
2025-01-10,1186603.05542663,1102177.3900000004,29,347434.9289337221
2025-01-13,1170287.150305227,1134599.06,19,228356.69770346314
2025-01-14,1165361.0387320234,1133471.6,21,251131.63867962846
2025-01-15,1171171.0825394108,1133471.6,24,286253.13901532185
2025-01-16,1176398.5185572817,1133471.6,30,356783.913591509
2025-01-17,1174901.851738601,1130601.9100000001,33,392015.5959831525
2025-01-21,1185255.370700021,1137559.9000000001,34,402574.90460694325
2025-01-22,1185335.7252426578,1135362.3,42,497134.69555461896
2025-01-23,1170273.5964186923,1138272.35,37,438543.81677701336
2025-01-24,1168237.2394982746,1137485.76,42,496496.43745958066
2025-01-27,1143443.8909806504,1124859.45,24,284266.6620729194
2025-01-28,1149760.4404310957,1121509.25,25,294728.832754396
2025-01-29,1150584.580123155,1119637.25,30,351591.69240477815
2025-01-30,1148038.8699654075,1120191.63,35,408521.8767423942
2025-01-31,1141732.0916597627,1120089.76,33,383653.0032906844
2025-02-03,1124310.0683286542,1115163.0699999996,22,255541.472954066
2025-02-04,1135876.4436232108,1115312.5599999996,29,334434.6608683183
2025-02-05,1140446.470127632,1113756.4599999995,32,368723.19121185085
2025-02-06,1143709.6279122706,1112118.1999999995,40,459513.38695260277
2025-02-07,1142861.213861577,1111937.8299999994,43,493555.1439413666
2025-02-10,1158501.6759141558,1108637.6999999993,45,517012.09346505394
2025-02-11,1159404.3628651206,1107156.8699999992,43,493824.11488267174
2025-02-12,1169110.570767746,1094692.799999999,33,378162.6014804257
2025-02-13,1184029.7056233361,1102445.0099999993,31,356479.32680159935
2025-02-14,1170129.2077118887,1101959.1399999994,32,368310.09287303715
2025-02-18,1171696.2034705065,1101410.7099999993,34,392270.44040862966
2025-02-19,1173719.221667929,1101410.7099999993,39,450777.6320133577
2025-02-20,1167526.5147225899,1110814.6699999992,34,393523.6012920519
2025-02-21,1154025.9045911971,1108165.659999999,26,300589.4563116213
2025-02-24,1135784.7240759854,1113522.8299999991,17,195873.94249332283
2025-02-25,1120208.5053656485,1105967.419999999,13,149165.27752769328
2025-02-26,1124887.3080369956,1102566.8799999987,18,205249.67802344836
2025-02-27,1117748.3280534372,1100769.1299999987,21,238269.65422181383
2025-02-28,1115154.092438816,1095644.8799999987,16,180999.8482852026
2025-03-03,1103954.087628944,1095131.8599999987,19,212301.91667008479
2025-03-04,1102201.849938896,1087110.7799999989,13,145314.5772008904
2025-03-05,1102349.8585378348,1085968.4099999988,25,277384.0206425094
2025-03-06,1100834.2080100977,1083122.3499999987,29,321545.0234188578
2025-03-07,1110485.820419677,1093487.579999999,29,321045.9581639245
2025-03-10,1102159.2912133113,1085946.849999999,26,286148.97417074174
2025-03-11,1093476.9422704817,1078488.0299999986,24,263988.7166370184
2025-03-12,1098651.9353175603,1078117.9199999985,24,264040.44244670594
2025-03-13,1102462.9427988278,1078809.1799999985,27,297072.1876760288
2025-03-14,1109425.1864153058,1078107.3999999985,38,418851.29134997807
2025-03-17,1129679.5848479636,1077177.3599999985,41,453019.12668032106
2025-03-18,1124518.1491836912,1074415.7599999984,42,464703.60459536966
2025-03-19,1134847.5907490524,1072543.0999999985,46,510402.7836043304
2025-03-20,1120869.220362869,1074720.0999999985,45,499683.36083192285
2025-03-21,1119581.2366320991,1072240.2199999986,43,477516.04599044594
2025-03-24,1125779.69459349,1071604.5999999985,46,511691.4558527797
2025-03-25,1119164.336129753,1074152.4699999986,41,456276.0676580677
2025-03-26,1107563.4054127126,1075369.0499999989,41,455758.21222949773
2025-03-27,1103353.6634448818,1074857.6399999987,38,421832.3058610037
2025-03-28,1089137.9948415672,1067873.0399999984,26,287874.22490899253
2025-03-31,1087381.2299993692,1074679.8199999987,19,209842.91465926124
2025-04-01,1090511.5849881254,1072401.2599999986,20,220585.72455596877
2025-04-02,1093491.4842920792,1068011.1099999987,22,242266.2965261287
2025-04-03,1081221.9802391678,1066813.4799999988,22,241006.05308100008
2025-04-04,1068004.975233718,1055965.1899999988,10,109763.99990333786
2025-04-07,1066603.1925105609,1059865.329999999,6,65071.161759376526
2025-04-08,1064457.9031768597,1059865.329999999,10,107518.98689347506
2025-04-09,1063858.8413833736,1056485.939999999,13,138949.22394004022
2025-04-10,1062805.159261348,1055901.119999999,20,212936.16594582
2025-04-11,1071980.0269097371,1055901.119999999,30,319973.3843884723
2025-04-14,1077421.1041344423,1053690.7799999989,38,406091.8192873256
2025-04-15,1075077.2531621803,1051499.2699999989,43,459847.19470099907
2025-04-16,1079884.357574078,1049008.219999999,43,460213.0129243113
2025-04-17,1087601.0976499433,1044156.989999999,45,482484.1558421631
2025-04-21,1074737.655757406,1039286.8099999988,37,396765.2854421912
2025-04-22,1082838.3285151043,1038655.8399999988,43,461727.89098218427
2025-04-23,1088300.0000387027,1043426.409999999,42,452145.00569923053
2025-04-24,1111583.3140870063,1043148.209999999,45,485400.3209953189
2025-04-25,1117019.2771484538,1042990.449999999,46,497527.3952745027
2025-04-28,1118011.9109229653,1039037.759999999,51,554200.3947294232
2025-04-29,1127760.6497196287,1041533.7099999989,49,533910.1152143951
2025-04-30,1133798.1773705774,1039235.5499999989,44,480552.0354370054
2025-05-01,1142810.368146093,1036605.5399999989,43,470902.6618796646
2025-05-02,1156529.5069755914,1040106.9699999989,50,553228.6526257095
2025-05-05,1124268.2096280647,1039006.4599999989,52,575665.5048871054
2025-05-06,1110927.5724035315,1047988.9899999993,39,432889.1317288363
2025-05-07,1123042.5994073227,1048254.7899999992,40,444307.31964305026
2025-05-08,1169813.6452979618,1046398.2999999992,42,469600.5109395085
2025-05-09,1207745.5682490761,1045679.7099999991,46,520624.07884871075
2025-05-12,1229665.218199239,1048184.0899999993,44,504306.62075016875
2025-05-13,1232379.2074768767,1046423.1899999995,44,505952.1094157491
2025-05-14,1209524.74843799,1048670.3499999994,44,510150.02381514123
2025-05-15,1230588.8355513632,1050414.7799999993,46,536565.9341192108
2025-05-16,1267528.6926341378,1048004.2699999993,46,538085.5747341972
2025-05-19,1304060.7804360897,1044311.6399999993,50,592591.4340884909
2025-05-20,1297244.7767166765,1045282.2399999993,53,633721.0810063109
2025-05-21,1267449.497225379,1055430.7599999993,54,653054.4144052005
2025-05-22,1303257.616746246,1057468.0899999994,48,584246.0406244064
2025-05-23,1287188.637894546,1064015.189999999,44,537531.6101544166
2025-05-27,1283021.3811447157,1089656.729999999,44,540690.7297425534
2025-05-28,1280117.1109584535,1112513.879999999,41,504538.46295226354
2025-05-29,1269562.6757363,1111976.269999999,43,530290.7846524979
2025-05-30,1259228.4096025003,1119219.629999999,39,481085.73242929234
2025-06-02,1272070.628380591,1135210.449999999,39,482067.34289325954
2025-06-03,1297124.9693500488,1169948.049999999,41,510897.0755263349
2025-06-04,1305794.0188640852,1167453.529999999,42,524313.1064826032
2025-06-05,1294947.3061965853,1160423.979999999,43,537254.516267384
2025-06-06,1316007.0841987042,1164143.0799999991,44,550566.5112944493
2025-06-09,1311435.076966458,1163724.5599999994,43,537790.079855088
2025-06-10,1299304.951309624,1174142.3299999991,39,491655.05225397483
2025-06-11,1297924.9585037092,1187184.7499999993,38,480867.8817246093
2025-06-12,1305812.2997896718,1189624.5999999992,36,455838.6098391717
2025-06-13,1284438.0614318561,1192541.4399999992,36,456406.4394027894
2025-06-16,1300782.3391270638,1200525.7199999993,35,443255.0249947017
2025-06-17,1306080.8809613215,1213187.539999999,33,421225.57193101937
2025-06-18,1307429.8705097188,1218098.4899999993,32,408799.24138559395
2025-06-20,1303782.1080649265,1220008.9799999995,30,385040.9314157403
2025-06-23,1296216.4246639712,1220139.3899999994,28,359392.9009320176
2025-06-24,1311558.4575320338,1223717.8599999994,32,412805.28389143903
2025-06-25,1302229.591184592,1220726.8499999994,32,412726.7930762764
2025-06-26,1318878.2051727485,1211682.4699999995,33,426704.9319553371
2025-06-27,1322269.4603301706,1210946.2099999995,34,440225.34935835906
2025-06-30,1317757.635214638,1218756.4599999995,34,440510.45962441963
2025-07-01,1293087.9961325934,1217329.1999999995,35,452739.23499521666
2025-07-02,1316138.3202163319,1212255.3799999997,38,492340.27540370874
2025-07-03,1338787.1011876492,1213468.6599999997,42,546086.1757542794
2025-07-07,1353273.3785365392,1207635.8299999996,43,560979.1567289825
2025-07-08,1347896.942756548,1210783.8899999997,43,562647.9595997329
2025-07-09,1352565.7943334961,1209725.8899999994,42,551642.974872684
2025-07-10,1353412.7678267064,1243885.6799999995,44,582056.3426861983
2025-07-11,1372697.3621260952,1250560.5399999996,46,611614.0089953492
2025-07-14,1357430.0506913303,1258576.0199999996,43,573311.5980027268
2025-07-15,1351126.6875245706,1279296.1299999994,39,521432.90534352337
2025-07-16,1358602.447261371,1278125.5299999996,39,522334.8160067705
2025-07-17,1392512.3006560009,1278795.7499999995,45,606993.6684149101
2025-07-18,1380477.7598386493,1276534.2799999993,43,581810.3783026531
2025-07-21,1380575.8587008747,1276833.3599999994,41,555556.0719404039
2025-07-22,1372953.9567086347,1280397.8199999994,33,447659.40209112735
2025-07-23,1498038.5797042307,1282852.0499999993,36,495254.2740412769
2025-07-24,1491762.6974824623,1286729.5299999996,40,558737.3425609199
2025-07-25,1496736.3404653552,1290386.2099999995,37,517667.19161692535
2025-07-28,1474113.2473378193,1291475.5499999996,35,491948.63607292005
2025-07-29,1459937.6157388068,1314670.1999999993,26,367638.54314733896
2025-07-30,1460465.3061991094,1311874.8699999994,23,325919.78057702264
2025-07-31,1478941.179757266,1311640.4199999992,20,285549.1933241025
2025-08-01,1472273.917668013,1310758.2799999993,16,230254.58335387707
2025-08-04,1488094.2533521538,1310758.2799999993,23,334241.0840616621
2025-08-05,1493643.3995245376,1394252.6399999994,29,424816.01531832025
2025-08-06,1493078.2770405498,1391433.8699999994,30,440845.0763482313
2025-08-07,1488615.1049341224,1387646.6399999994,33,485215.124626505
2025-08-08,1488222.6293389294,1383153.0599999994,39,574369.1061333294
2025-08-11,1516754.594153564,1377887.5299999996,41,606780.3142336484
2025-08-12,1540753.8695432926,1376134.3399999996,43,638930.0537594433
2025-08-13,1544355.4717050346,1378725.5499999998,41,610984.675283524
2025-08-14,1518723.932461752,1373085.71,40,596795.9322061022
2025-08-15,1508433.850007405,1379042.0799999998,41,613085.6093146467
2025-08-18,1519091.0233420176,1388412.7199999995,39,583771.5618765616
2025-08-19,1485284.381062495,1447581.6399999994,32,478726.6625724101
2025-08-20,1487998.426514154,1444209.6199999994,26,388655.8465042006
2025-08-21,1498478.9753420686,1450658.2099999995,30,448934.1830131288
2025-08-22,1507338.9614293454,1450658.2099999995,40,599538.7724107238
2025-08-25,1508712.8105146193,1449695.1499999997,41,614768.6122220489
2025-08-26,1525720.8243652605,1449205.0999999996,42,630013.6902295086
2025-08-27,1519888.5571416782,1448485.4899999995,44,660533.359643552
2025-08-28,1531402.0060062297,1452593.0599999996,45,676879.0928012811
2025-08-29,1522336.2320348627,1451227.2599999995,40,602378.3973524058
2025-09-02,1509671.7517151937,1463874.89,34,513060.0292776861
2025-09-03,1519041.0735146666,1462551.8699999999,36,543478.206566839
2025-09-04,1502011.0694109497,1463278.8199999996,31,467524.95949176664
2025-09-05,1503090.6506421098,1460354.9899999995,33,497445.23413411493
2025-09-08,1520957.291807554,1464907.4199999995,38,573493.5794619529
2025-09-09,1525695.8691846395,1464371.7999999993,45,680232.6806410758
2025-09-10,1535734.310418831,1467580.3699999994,50,757231.5020527919
2025-09-11,1566899.0623014844,1469315.3499999996,49,743291.8527674754
2025-09-12,1557908.246473881,1465124.9799999995,46,698560.5480533917
2025-09-15,1571323.5672712408,1460063.0299999998,40,608374.3685913289
2025-09-16,1590351.9169775376,1458149.6599999997,40,610276.6576662266
2025-09-17,1608446.0059357642,1464333.7599999995,36,552408.3534387681
2025-09-18,1613806.9141531745,1476481.0399999993,38,588094.6717912774
2025-09-19,1632019.3264603177,1476481.0399999993,43,669579.0816394906
2025-09-22,1653381.1978237208,1471820.5099999995,45,706992.6752914705
2025-09-23,1635144.3726223707,1483714.57,43,678160.5924682096
2025-09-24,1635933.2716016846,1486834.76,43,681744.1104480048
2025-09-25,1628309.999402912,1483915.41,37,587146.770864131
2025-09-26,1632178.913577364,1485875.05,37,589270.2344881316
2025-09-29,1637034.2735043843,1487479.0100000002,41,655512.9054871817
2025-09-30,1642622.1179221948,1493252.7600000002,37,591882.7410901805
2025-10-01,1670499.0557587463,1492778.9100000001,45,725009.8915036937
2025-10-02,1674496.8682734556,1494506.8000000003,45,728099.0607131418
2025-10-03,1687135.8717074746,1491291.1300000001,51,831107.0658160145
2025-10-06,1709413.1983541697,1508375.1400000001,52,852903.5022264416
2025-10-07,1696462.6943428295,1505375.82,49,803867.4399407799
2025-10-08,1730367.0912618416,1505375.82,56,924713.891316026
2025-10-09,1730257.236038219,1526195.3599999999,52,862234.3692517027
2025-10-10,1680188.0278288284,1526055.99,43,711263.0475947603
2025-10-13,1738125.4346003109,1525643.0,43,714439.5544684357
2025-10-14,1830457.6143931276,1523949.6000000006,38,639814.9023816227
2025-10-15,1787030.5341294461,1526040.5300000005,45,765838.1137597202
2025-10-16,1748189.1982106315,1522465.7700000005,44,751289.1826559155
2025-10-17,1722333.3125033304,1539740.2800000005,35,598500.168047703
2025-10-20,1734194.2698900625,1539740.2800000005,39,667646.9285664923
2025-10-21,1697637.0313692528,1576163.6700000006,31,532927.7074025869
2025-10-22,1684251.1277219257,1568916.520000001,17,290647.17270457745
2025-10-23,1702611.1207587323,1567477.720000001,19,324639.81430627103
2025-10-24,1702857.3201988435,1609349.080000001,27,461541.45474553923
2025-10-27,1707364.22657902,1610173.080000001,33,562053.704290875
2025-10-28,1688509.4215535666,1600924.2100000011,33,561438.4946026884
2025-10-29,1685377.1044086015,1598475.8500000013,32,544842.9806542374
2025-10-30,1667580.8830876339,1614601.7000000014,31,526433.964265063
2025-10-31,1668725.7952212973,1627917.0200000014,31,525160.5106580777
2025-11-03,1653369.54555815,1624849.2300000014,25,419482.85256461985
2025-11-04,1632833.240858471,1620561.210000001,16,266579.1752071846
2025-11-05,1636129.0615122688,1619040.100000001,20,331392.5367303488
2025-11-06,1624821.9254056155,1609094.1800000009,20,328814.1650786993
2025-11-07,1624431.6501894698,1607951.1500000008,19,312457.3032959245
2025-11-10,1637284.8778569452,1606678.510000001,33,540737.4835625049
2025-11-11,1646068.5015437452,1601201.520000001,33,540794.5339174625
2025-11-12,1652086.0346072859,1600661.980000001,38,623380.1691561812
2025-11-13,1626240.5883606698,1588498.4400000009,30,492010.9630227693
2025-11-14,1633118.565300844,1574637.2900000007,26,426537.88315548236
2025-11-17,1642834.2218684175,1574637.2900000007,35,573086.0280062133
2025-11-18,1640968.9526564293,1572798.560000001,33,540448.3171645575
2025-11-19,1643340.7407727875,1569913.130000001,35,573373.3788817546
2025-11-20,1629219.9968147913,1570240.3800000013,31,507516.69517261
2025-11-21,1633821.484943811,1569838.7400000014,28,457914.42193798994
2025-11-24,1653715.4498816193,1570131.1500000013,34,558270.0308116269
2025-11-25,1665447.8506522863,1570131.1500000013,41,674785.3969298168
2025-11-26,1679631.8951358497,1569253.9200000013,52,858934.2393383527
2025-11-28,1691223.6344108284,1569253.9200000013,54,892728.1055345082
2025-12-01,1676871.4253810716,1576428.8000000012,51,844819.6047784507
2025-12-02,1670704.5352966543,1577599.8800000013,51,845411.5849730079
2025-12-03,1701263.0671564622,1576535.8100000012,48,796558.8163329666
2025-12-04,1717141.0017511116,1578510.9600000014,50,832251.7740085486
2025-12-05,1708711.237783667,1576401.9300000016,50,833455.435541568
2025-12-08,1714649.025323404,1573565.5500000014,48,800627.6626310709
2025-12-09,1714829.1075317443,1589067.9800000014,48,802733.1978523972
2025-12-10,1724478.9957496682,1573460.8900000013,49,822255.4675788281
2025-12-11,1735145.6050173359,1592077.4700000014,46,774959.8835356837
2025-12-12,1706789.219691643,1589548.4700000014,47,792846.5726748342
2025-12-15,1713520.868459343,1592166.4600000011,41,691904.5231171484
2025-12-16,1692098.3184531222,1607406.640000001,31,523452.35796913155
2025-12-17,1679513.037273427,1610946.360000001,30,506596.8429964448
2025-12-18,1693708.492998274,1610946.360000001,34,574288.6052100208
2025-12-19,1717272.8072520369,1607595.040000001,38,642988.019329957
2025-12-22,1734222.8206776776,1600353.530000001,44,747553.0721813339
2025-12-23,1735296.424927794,1598210.200000001,43,730237.5930400986
2025-12-24,1735565.6657476581,1599009.6300000008,43,731309.1989942687
2025-12-26,1722732.709441029,1599542.200000001,39,662569.5796514648
2025-12-29,1718939.5755593367,1638910.0000000005,28,477315.39141682937
2025-12-30,1717623.7298639317,1644032.9100000006,26,443734.2762821755
2025-12-31,1706658.134291714,1652454.210000001,24,409732.3869413304
2026-01-02,1709076.121909647,1668922.9100000006,23,393093.980052834
2026-01-05,1726416.1571324607,1671770.3600000006,34,583357.1525547823
2026-01-06,1734074.409583553,1667609.1100000008,38,653186.386529567
2026-01-07,1725993.182608323,1679330.5300000005,40,687457.0036752949
2026-01-08,1722184.6556057665,1670841.7000000007,39,670508.0127744471
2026-01-09,1747063.9643813104,1667369.6600000008,43,740149.5390051022
2026-01-12,1756972.1051300175,1663187.890000001,46,793616.1244221475
2026-01-13,1745720.9433884176,1659153.0300000012,47,811471.0944834497
2026-01-14,1786140.8258914198,1660641.0300000012,47,814189.2004974936
2026-01-15,1805871.687501757,1662377.1500000013,50,868956.6268292038
