strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_5d_close,GGAL,2024-05-24,27.3806,27.0874,0.2932,2024-05-31,31.5562,hold_5d_close,365,9993.92,1524.1,0.152502,14.2393,-1.6904,18.6029,5,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,IAG,2024-05-24,3.9504,3.85,0.1004,2024-05-31,3.9496,hold_5d_close,2535,10014.25,-2.0,-0.0002,-0.0079,-0.2031,2.1874,5,91.0,entry=rsi2_next_open; setup_rsi2=3.00; raw_entry=open:3.9500; slippage_bps=1.0; decision_date=2024-05-23 00:00:00; filter_close=3.8700; filter_ma50=3.6672; filter_avg_value_10=51.47; filter_adr20=4.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,KD,2024-05-31,26.6427,26.33,0.3127,2024-05-31,26.3274,same_day_stop_loss_red_candle,377,10044.28,-118.87,-0.011834,-1.0084,-2.1834,0.2473,0,93.0,entry=rsi2_next_open; setup_rsi2=1.58; raw_entry=open:26.6400; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=26.6400; filter_ma50=22.9040; filter_avg_value_10=46.22; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EMBJ,2024-05-31,28.0506,27.888,0.1626,2024-05-31,27.8852,same_day_stop_loss_red_candle,358,10042.13,-59.22,-0.005897,-1.0171,-6.1595,-0.0172,0,92.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:28.0478; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=28.0678; filter_ma50=26.5675; filter_avg_value_10=40.41; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,CVNA,2024-06-03,20.6581,19.615,1.0431,2024-06-03,19.613,same_day_stop_loss_red_candle,486,10039.82,-507.88,-0.050587,-1.0019,-1.1005,0.1361,0,97.0,entry=rsi2_next_open; setup_rsi2=2.71; raw_entry=open:20.6560; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=19.9960; filter_ma50=18.9806; filter_avg_value_10=312.42; filter_adr20=5.30; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,ONTO,2024-06-03,220.4821,209.58,10.9021,2024-06-03,209.559,same_day_stop_loss_red_candle,45,9921.69,-491.54,-0.049541,-1.0019,-1.0908,-0.002,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:220.4600; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=216.7000; filter_ma50=199.0390; filter_avg_value_10=96.24; filter_adr20=3.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,KD,2024-06-03,26.8427,25.96,0.8827,2024-06-04,25.9574,stop_loss,373,10012.32,-330.21,-0.03298,-1.0029,-1.0113,0.0876,1,93.0,entry=rsi2_next_open; setup_rsi2=1.37; raw_entry=open:26.8400; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=26.6100; filter_ma50=22.9894; filter_avg_value_10=44.85; filter_adr20=3.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,ZETA,2024-06-04,15.9616,15.862,0.0996,2024-06-04,15.8604,same_day_stop_loss_red_candle,628,10023.88,-63.54,-0.006339,-1.0159,-4.4339,0.486,0,96.0,entry=rsi2_next_open; setup_rsi2=3.47; raw_entry=open:15.9600; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=15.9600; filter_ma50=13.6866; filter_avg_value_10=46.14; filter_adr20=3.69; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,VRT,2024-06-04,93.7227,92.4166,1.3061,2024-06-04,92.4074,same_day_stop_loss_red_candle,107,10028.33,-140.74,-0.014034,-1.0071,-3.6883,0.3441,0,96.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:93.7134; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=95.8679; filter_ma50=90.0849; filter_avg_value_10=872.77; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,SMTC,2024-06-04,37.9438,37.71,0.2338,2024-06-04,37.7062,same_day_stop_loss_red_candle,264,10017.16,-62.72,-0.006261,-1.0161,-3.9941,0.6681,0,94.0,entry=rsi2_next_open; setup_rsi2=4.47; raw_entry=open:37.9400; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=38.1800; filter_ma50=35.2882; filter_avg_value_10=50.50; filter_adr20=4.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,KD,2024-06-04,26.3726,26.01,0.3626,2024-06-04,26.0074,same_day_stop_loss_red_candle,380,10021.6,-138.79,-0.013849,-1.0072,-1.1655,0.5167,0,93.0,entry=rsi2_next_open; setup_rsi2=0.74; raw_entry=open:26.3700; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=26.5100; filter_ma50=23.0728; filter_avg_value_10=45.13; filter_adr20=3.74; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EME,2024-06-04,369.6205,364.7941,4.8264,2024-06-04,364.7576,same_day_stop_loss_red_candle,27,9979.75,-131.3,-0.013157,-1.0076,-2.2502,0.2688,0,90.0,entry=rsi2_next_open; setup_rsi2=3.87; raw_entry=open:369.5835; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=371.5053; filter_ma50=362.1613; filter_avg_value_10=343.29; filter_adr20=2.51; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,ONTO,2024-06-04,212.8013,208.59,4.2113,2024-06-04,208.5691,same_day_stop_loss_red_candle,47,10001.66,-198.91,-0.019888,-1.005,-1.5105,0.572,0,90.0,entry=rsi2_next_open; setup_rsi2=3.29; raw_entry=open:212.7800; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=215.5000; filter_ma50=199.6888; filter_avg_value_10=97.12; filter_adr20=3.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,PRCT,2024-05-30,64.6365,62.71,1.9265,2024-06-06,68.3332,hold_5d_close,155,10018.65,572.99,0.057192,1.9189,-0.2733,2.426,5,94.0,entry=rsi2_next_open; setup_rsi2=3.45; raw_entry=open:64.6300; slippage_bps=1.0; decision_date=2024-05-29 00:00:00; filter_close=64.1000; filter_ma50=55.9396; filter_avg_value_10=42.56; filter_adr20=5.43; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,VRT,2024-06-05,93.3436,88.9055,4.4381,2024-06-06,88.8966,stop_loss,107,9987.77,-475.83,-0.047642,-1.002,-1.4428,1.0745,1,95.0,entry=rsi2_next_open; setup_rsi2=1.45; raw_entry=open:93.3343; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=91.8580; filter_ma50=90.2762; filter_avg_value_10=941.25; filter_adr20=4.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,BZFD,2024-06-06,2.5303,2.52,0.0103,2024-06-06,2.5197,same_day_stop_loss_red_candle,3970,10045.1,-41.7,-0.004152,-1.0246,-1.0,14.6052,0,98.0,entry=rsi2_next_open; setup_rsi2=2.84; raw_entry=open:2.5300; slippage_bps=1.0; decision_date=2024-06-05 00:00:00; filter_close=2.5600; filter_ma50=1.9733; filter_avg_value_10=26.01; filter_adr20=15.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,OSCR,2024-05-31,19.882,18.56,1.322,2024-06-07,18.5581,stop_loss,505,10040.4,-668.54,-0.066585,-1.0014,-2.0666,0.8457,5,97.0,entry=rsi2_next_open; setup_rsi2=3.28; raw_entry=open:19.8800; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=19.8500; filter_ma50=17.6132; filter_avg_value_10=61.11; filter_adr20=5.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,SE,2024-05-31,66.8767,66.37,0.5067,2024-06-07,72.4628,hold_5d_close,150,10031.5,837.91,0.083528,11.0247,-2.2631,11.6903,5,90.0,entry=rsi2_next_open; setup_rsi2=2.58; raw_entry=open:66.8700; slippage_bps=1.0; decision_date=2024-05-30 00:00:00; filter_close=67.1500; filter_ma50=61.6118; filter_avg_value_10=380.41; filter_adr20=3.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,CLS,2024-06-05,53.8654,51.89,1.9754,2024-06-07,51.8848,stop_loss,186,10018.96,-368.39,-0.036769,-1.0026,-1.5062,1.3185,2,96.0,entry=rsi2_next_open; setup_rsi2=2.43; raw_entry=open:53.8600; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=52.7100; filter_ma50=48.3554; filter_avg_value_10=138.25; filter_adr20=4.00; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,CRS,2024-06-05,103.5256,102.9694,0.5562,2024-06-07,102.9591,stop_loss,97,10041.98,-54.95,-0.005472,-1.0185,-1.3926,6.7441,2,93.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:103.5153; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=103.6542; filter_ma50=90.7343; filter_avg_value_10=49.92; filter_adr20=3.01; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,SMTC,2024-06-05,37.9238,37.01,0.9138,2024-06-07,30.167,stop_loss,265,10049.8,-2055.55,-0.204537,-8.4886,-11.3853,9.7793,2,93.0,entry=rsi2_next_open; setup_rsi2=1.92; raw_entry=open:37.9200; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=37.3800; filter_ma50=35.5774; filter_avg_value_10=55.56; filter_adr20=4.28; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,KD,2024-06-05,26.1926,25.95,0.2426,2024-06-07,25.9474,stop_loss,383,10031.77,-93.92,-0.009362,-1.0107,-1.0824,2.8744,2,93.0,entry=rsi2_next_open; setup_rsi2=0.14; raw_entry=open:26.1900; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=26.0500; filter_ma50=23.1628; filter_avg_value_10=46.63; filter_adr20=3.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,PAAS,2024-06-05,19.8949,19.7362,0.1587,2024-06-07,19.7343,stop_loss,505,10046.95,-81.14,-0.008076,-1.0124,-3.1601,8.381,2,90.0,entry=rsi2_next_open; setup_rsi2=3.58; raw_entry=open:19.8930; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=19.7950; filter_ma50=18.6591; filter_avg_value_10=97.25; filter_adr20=3.83; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EMBJ,2024-06-03,28.1605,27.049,1.1115,2024-06-10,29.1137,hold_5d_close,356,10025.15,339.33,0.033848,0.8575,-0.6046,1.1207,5,91.0,entry=rsi2_next_open; setup_rsi2=1.00; raw_entry=open:28.1577; slippage_bps=1.0; decision_date=2024-05-31 00:00:00; filter_close=27.7582; filter_ma50=26.6137; filter_avg_value_10=36.52; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,CVNA,2024-06-04,19.762,19.5102,0.2518,2024-06-11,20.8219,hold_5d_close,507,10019.32,537.39,0.053635,4.2099,-0.7069,9.6357,5,96.0,entry=rsi2_next_open; setup_rsi2=1.89; raw_entry=open:19.7600; slippage_bps=1.0; decision_date=2024-06-03 00:00:00; filter_close=19.7920; filter_ma50=19.0256; filter_avg_value_10=303.99; filter_adr20=5.27; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,JXN,2024-06-05,68.6452,67.4159,1.2292,2024-06-11,67.4092,stop_loss,146,10022.19,-180.45,-0.018005,-1.0055,-1.5461,1.2012,4,93.0,entry=rsi2_next_open; setup_rsi2=4.30; raw_entry=open:68.6383; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=68.0225; filter_ma50=65.8381; filter_avg_value_10=35.12; filter_adr20=2.89; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,ZETA,2024-06-05,15.9816,15.52,0.4616,2024-06-12,17.3783,hold_5d_close,627,10020.46,875.71,0.087392,3.0257,-0.3717,3.4628,5,96.0,entry=rsi2_next_open; setup_rsi2=1.78; raw_entry=open:15.9800; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=15.6500; filter_ma50=13.7786; filter_avg_value_10=46.33; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,HBM,2024-06-05,9.111,8.8107,0.3003,2024-06-12,8.9994,hold_5d_close,1102,10040.31,-122.95,-0.012246,-0.3716,-0.568,1.0936,5,94.0,entry=rsi2_next_open; setup_rsi2=2.48; raw_entry=open:9.1101; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=8.9804; filter_ma50=8.4134; filter_avg_value_10=56.03; filter_adr20=3.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,TLN,2024-06-05,109.0109,106.11,2.9009,2024-06-12,116.1584,hold_5d_close,92,10029.0,657.57,0.065567,2.4639,-0.0658,2.966,5,94.0,entry=rsi2_next_open; setup_rsi2=4.55; raw_entry=open:109.0000; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=108.7600; filter_ma50=101.0839; filter_avg_value_10=107.54; filter_adr20=4.29; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,POWL,2024-06-05,52.4177,50.6195,1.7982,2024-06-12,57.2729,hold_5d_close,191,10011.79,927.33,0.092624,2.7,-0.7388,3.6709,5,91.0,entry=rsi2_next_open; setup_rsi2=2.54; raw_entry=open:52.4125; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=51.9725; filter_ma50=51.0156; filter_avg_value_10=90.32; filter_adr20=7.35; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EME,2024-06-05,368.8836,358.76,10.1236,2024-06-12,380.9266,hold_5d_close,27,9959.86,325.16,0.032647,1.1896,-0.1551,1.6812,5,91.0,entry=rsi2_next_open; setup_rsi2=2.73; raw_entry=open:368.8467; slippage_bps=1.0; decision_date=2024-06-04 00:00:00; filter_close=367.3133; filter_ma50=362.5826; filter_avg_value_10=362.28; filter_adr20=2.56; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,FSM,2024-06-06,5.1105,4.82,0.2905,2024-06-13,4.8195,stop_loss,1965,10042.15,-571.8,-0.05694,-1.0017,-1.0688,0.8932,5,91.0,entry=rsi2_next_open; setup_rsi2=0.92; raw_entry=open:5.1100; slippage_bps=1.0; decision_date=2024-06-05 00:00:00; filter_close=5.0700; filter_ma50=4.9766; filter_avg_value_10=51.32; filter_adr20=4.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,EAT,2024-06-12,67.2367,66.58,0.6567,2024-06-17,66.5733,stop_loss,149,10018.27,-98.84,-0.009866,-1.0101,-2.9186,2.5936,3,96.0,entry=rsi2_next_open; setup_rsi2=4.65; raw_entry=open:67.2300; slippage_bps=1.0; decision_date=2024-06-11 00:00:00; filter_close=66.8600; filter_ma50=57.0448; filter_avg_value_10=108.30; filter_adr20=2.94; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,TNDM,2024-06-17,44.8645,44.28,0.5845,2024-06-17,44.2756,same_day_stop_loss_red_candle,223,10004.78,-131.33,-0.013127,-1.0076,-3.3953,0.1001,0,96.0,entry=rsi2_next_open; setup_rsi2=0.64; raw_entry=open:44.8600; slippage_bps=1.0; decision_date=2024-06-14 00:00:00; filter_close=45.3300; filter_ma50=42.4156; filter_avg_value_10=57.70; filter_adr20=4.63; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,WIX,2024-06-17,163.5163,163.46,0.0563,2024-06-17,163.4437,same_day_stop_loss_red_candle,61,9974.5,-4.43,-0.000445,-1.2901,-62.5868,-0.2902,0,95.0,entry=rsi2_next_open; setup_rsi2=4.76; raw_entry=open:163.5000; slippage_bps=1.0; decision_date=2024-06-14 00:00:00; filter_close=163.6100; filter_ma50=141.5180; filter_avg_value_10=135.25; filter_adr20=3.86; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,MRNA,2024-06-17,138.1738,138.17,0.0038,2024-06-17,138.1462,same_day_stop_loss_red_candle,72,9948.52,-1.99,-0.0002,-7.2307,-759.864,456.9361,0,93.0,entry=rsi2_next_open; setup_rsi2=1.24; raw_entry=open:138.1600; slippage_bps=1.0; decision_date=2024-06-14 00:00:00; filter_close=140.0300; filter_ma50=127.6776; filter_avg_value_10=515.77; filter_adr20=6.49; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,PRCT,2024-06-17,63.4463,62.1,1.3463,2024-06-17,62.0938,same_day_stop_loss_red_candle,157,9961.08,-212.35,-0.021318,-1.0046,-1.4382,0.3667,0,92.0,entry=rsi2_next_open; setup_rsi2=4.38; raw_entry=open:63.4400; slippage_bps=1.0; decision_date=2024-06-14 00:00:00; filter_close=63.1700; filter_ma50=60.4112; filter_avg_value_10=35.39; filter_adr20=3.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,PI,2024-06-11,147.8948,146.63,1.2648,2024-06-18,147.1553,hold_5d_close,67,9908.95,-49.55,-0.005,-0.5847,-2.2571,5.9893,5,93.0,entry=rsi2_next_open; setup_rsi2=4.67; raw_entry=open:147.8800; slippage_bps=1.0; decision_date=2024-06-10 00:00:00; filter_close=148.4800; filter_ma50=148.0360; filter_avg_value_10=84.24; filter_adr20=3.99; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,AGIO,2024-06-18,42.8343,42.06,0.7743,2024-06-18,42.0558,same_day_stop_loss_red_candle,233,9980.39,-181.39,-0.018174,-1.0054,-1.4004,0.1624,0,96.0,entry=rsi2_next_open; setup_rsi2=2.94; raw_entry=open:42.8300; slippage_bps=1.0; decision_date=2024-06-17 00:00:00; filter_close=42.5900; filter_ma50=35.6402; filter_avg_value_10=44.11; filter_adr20=5.40; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,WIX,2024-06-18,160.216,159.99,0.226,2024-06-18,159.974,same_day_stop_loss_red_candle,62,9933.39,-15.0,-0.001511,-1.0708,-6.398,6.7872,0,94.0,entry=rsi2_next_open; setup_rsi2=2.19; raw_entry=open:160.2000; slippage_bps=1.0; decision_date=2024-06-17 00:00:00; filter_close=161.3300; filter_ma50=142.0386; filter_avg_value_10=124.87; filter_adr20=3.89; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,MRNA,2024-06-18,136.5937,135.27,1.3237,2024-06-18,135.2565,same_day_stop_loss_red_candle,73,9971.34,-97.61,-0.009789,-1.0102,-3.8331,0.511,0,91.0,entry=rsi2_next_open; setup_rsi2=0.77; raw_entry=open:136.5800; slippage_bps=1.0; decision_date=2024-06-17 00:00:00; filter_close=137.9000; filter_ma50=128.3780; filter_avg_value_10=489.39; filter_adr20=6.47; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,PRCT,2024-06-18,61.6962,61.51,0.1862,2024-06-20,61.5038,stop_loss,162,9994.78,-31.16,-0.003117,-1.033,-9.0572,3.7806,2,91.0,entry=rsi2_next_open; setup_rsi2=2.10; raw_entry=open:61.6900; slippage_bps=1.0; decision_date=2024-06-17 00:00:00; filter_close=62.0400; filter_ma50=60.7112; filter_avg_value_10=34.19; filter_adr20=3.46; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,DY,2024-06-20,168.0768,167.95,0.1268,2024-06-20,167.9332,same_day_stop_loss_red_candle,59,9916.53,-8.47,-0.000854,-1.1324,-15.5891,19.9769,0,94.0,entry=rsi2_next_open; setup_rsi2=3.90; raw_entry=open:168.0600; slippage_bps=1.0; decision_date=2024-06-18 00:00:00; filter_close=168.3400; filter_ma50=156.2744; filter_avg_value_10=40.28; filter_adr20=2.98; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_5d_close,WIX,2024-06-20,159.2559,158.77,0.4859,2024-06-20,158.7541,same_day_stop_loss_red_candle,62,9873.87,-31.11,-0.003151,-1.0327,-7.2396,-0.0122,0,94.0,entry=rsi2_next_open; setup_rsi2=1.34; raw_entry=open:159.2400; slippage_bps=1.0; decision_date=2024-06-18 00:00:00; filter_close=159.9800; filter_ma50=142.5412; filter_avg_value_10=116.67; filter_adr20=3.21; rs_bucket=rs90_100
