strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,DJT,2024-05-21,48.18,47.84,0.34,2024-05-21,47.84,same_day_stop_loss_red_candle,1037,49962.66,-352.58,-0.007057,-1.0,-17.5588,0.6176,0,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=47.84000015258789; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,ASM,2026-01-05,6.13,5.73,0.4,2026-01-05,6.06,hold_0d_close,7691,47145.83,-538.37,-0.011419,-0.175,-0.225,0.85,0,95.0,entry=rsi2_next_open; setup_rsi2=2.32; raw_entry=open:6.1300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=5.730000019073486; decision_date=2026-01-02 00:00:00; filter_close=5.9200; filter_ma50=5.3376; filter_avg_value_10=34.50; filter_adr20=6.21; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,KYMR,2026-01-05,72.59,72.155,0.435,2026-01-05,72.155,same_day_stop_loss_red_candle,649,47110.91,-282.31,-0.005993,-1.0,-5.1494,2.1609,0,93.0,entry=rsi2_next_open; setup_rsi2=0.34; raw_entry=open:72.5900; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=72.15499877929688; decision_date=2026-01-02 00:00:00; filter_close=72.7600; filter_ma50=70.4174; filter_avg_value_10=60.86; filter_adr20=5.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,LQDA,2026-01-05,31.36,30.76,0.6,2026-01-05,30.76,same_day_stop_loss_red_candle,1502,47102.72,-901.2,-0.019133,-1.0,-1.8,1.9833,0,92.0,entry=rsi2_next_open; setup_rsi2=3.08; raw_entry=open:31.3600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=30.76000022888184; decision_date=2026-01-02 00:00:00; filter_close=31.4000; filter_ma50=30.1040; filter_avg_value_10=37.00; filter_adr20=4.61; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,NRIX,2026-01-05,18.06,17.86,0.2,2026-01-05,17.86,same_day_stop_loss_red_candle,2605,47046.3,-521.0,-0.011074,-1.0,-5.0,0.0,0,92.0,entry=rsi2_next_open; setup_rsi2=1.74; raw_entry=open:18.0600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=17.860000610351562; decision_date=2026-01-02 00:00:00; filter_close=18.0600; filter_ma50=15.7855; filter_avg_value_10=28.32; filter_adr20=5.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,RIGL,2026-01-05,41.7,40.5,1.2,2026-01-05,41.19,hold_0d_close,1127,46995.9,-574.77,-0.01223,-0.425,-0.9917,0.8,0,92.0,entry=rsi2_next_open; setup_rsi2=3.35; raw_entry=open:41.7000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=40.5; decision_date=2026-01-02 00:00:00; filter_close=41.8300; filter_ma50=40.5546; filter_avg_value_10=28.11; filter_adr20=5.41; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,ABVX,2026-01-06,123.51,121.02,2.49,2026-01-06,121.02,same_day_stop_loss_red_candle,380,46933.8,-946.2,-0.02016,-1.0,-2.9357,0.4297,0,99.0,entry=rsi2_next_open; setup_rsi2=1.64; raw_entry=open:123.5100; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=121.0199966430664; decision_date=2026-01-05 00:00:00; filter_close=123.2300; filter_ma50=115.9527; filter_avg_value_10=241.64; filter_adr20=6.10; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,CAPR,2026-01-06,24.73,24.34,0.39,2026-01-06,26.13,hold_0d_close,1898,46937.54,2657.2,0.056611,3.5897,-0.1795,4.3846,0,99.0,entry=rsi2_next_open; setup_rsi2=1.11; raw_entry=open:24.7300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=24.34000015258789; decision_date=2026-01-05 00:00:00; filter_close=24.8100; filter_ma50=15.5350; filter_avg_value_10=36.46; filter_adr20=7.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,COGT,2026-01-06,34.46,32.93,1.53,2026-01-06,34.78,hold_0d_close,1366,47072.36,437.12,0.009286,0.2092,-0.4641,0.4052,0,98.0,entry=rsi2_next_open; setup_rsi2=0.67; raw_entry=open:34.4600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=32.93000030517578; decision_date=2026-01-05 00:00:00; filter_close=34.2600; filter_ma50=32.3246; filter_avg_value_10=88.77; filter_adr20=5.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,KOD,2026-01-06,24.35,23.92,0.43,2026-01-06,25.05,hold_0d_close,1934,47092.9,1353.8,0.028747,1.6279,-0.9302,3.1163,0,98.0,entry=rsi2_next_open; setup_rsi2=3.11; raw_entry=open:24.3500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=23.920000076293945; decision_date=2026-01-05 00:00:00; filter_close=25.0000; filter_ma50=22.5188; filter_avg_value_10=36.96; filter_adr20=8.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,WVE,2026-01-06,19.05,14.46,4.59,2026-01-06,15.15,hold_0d_close,2476,47167.8,-9656.4,-0.204724,-0.8497,-0.8562,0.098,0,98.0,entry=rsi2_next_open; setup_rsi2=1.60; raw_entry=open:19.0500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=14.460000038146973; decision_date=2026-01-05 00:00:00; filter_close=15.0000; filter_ma50=11.2042; filter_avg_value_10=47.14; filter_adr20=11.17; rs_bucket=rs90_100
